"Home","Início"
"Go to Home Page","Ir para a página inicial"
"Categories","Categorias"
"Pages","Páginas"
"Products","Produtos"
"Stores","Lojas"
"Top of page","Topo da página"
"Bottom of page","Rodapé da página"
"Both top and bottom","Tanto no topo quanto no rodapé"
"Disable","Desativar"
"Permanent only","Apenas permanentes"
"All","Todos"
"Priority must be between 0 and 1","A prioridade deve estar entre 0 e 1"
"A cron job is required for automatic sitemap generation. Automatic generation can be configured at System > Configuration > Catalog > Google Sitemap > Generation Settings. Cron for Magento is not running. To set up a cron job, follow the link.","Um cron job é necessário para a geração automática do mapa do site. A geração automática pode ser configurada em Sistema > Configuração > Catálogo > Google Sitemap > Configurações de geração. O cron do Magento não está em execução. Para configurar um cron job, siga o link."
"Blog","Blog"
"Blog Home","Início do blog"
"Brand","Marca"
"Knowledge Base","Base de conhecimento"
"Landing Pages","Páginas de destino"
"Search sitemap","Pesquisar no mapa do site"
"Search","Pesquisar"
"Search through sitemap items","Pesquisar entre os itens do mapa do site"
"Visit %1 store","Visitar a loja %1"
"View %1 page","Ver a página %1"
"Additional Links","Links adicionais"
"Visit %1","Visitar %1"
"View %1","Ver %1"
"View category: %1","Ver categoria: %1"
"View product: %1","Ver produto: %1"
"Nothing to show, please change a search query","Nada a mostrar, por favor altere a consulta de pesquisa"
"Extended sitemap","Mapa do site estendido"
"General sitemap settings","Configurações gerais do mapa do site"
"Basic configuration options that affect both frontend and XML sitemaps.","Opções de configuração básica que afetam tanto os mapas do site frontend quanto XML."
"Ignore CMS pages","Ignorar páginas CMS"
"Select pages that should not appear in any sitemaps. Useful for login, registration, and other utility pages.","Selecione as páginas que não devem aparecer em nenhum mapa do site. Útil para páginas de login, registro e outras páginas utilitárias."
"Include SEO rewrites in sitemap","Incluir reescritas SEO no mapa do site"
"When enabled, all SEO rewrite URLs with INDEX FOLLOW meta robots will be included in the sitemap. The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","Quando ativado, todas as URLs de reescrita SEO com meta robots INDEX FOLLOW serão incluídas no mapa do site. O padrão de link incluído não deve ser um nome de ação nem conter caracteres curinga. Para um mapa do site frontend, o campo <b>Título</b> é obrigatório."
"Exclude redirects from sitemap","Excluir redirecionamentos do mapa do site"
"Controls how redirect URLs are handled in sitemap generation. Excluding redirects prevents search engines from indexing redirect URLs, while including them allows crawlers to discover the redirect chain. Permanent redirects (301) typically should be excluded as they point to canonical URLs already in the sitemap.","Controla como as URLs de redirecionamento são tratadas na geração do mapa do site. Excluir redirecionamentos impede que os mecanismos de busca indexem URLs de redirecionamento, enquanto incluí-los permite que os crawlers descubram a cadeia de redirecionamento. Os redirecionamentos permanentes (301) geralmente devem ser excluídos, pois apontam para URLs canônicas já presentes no mapa do site."
"Additional links","Links adicionais"
"Add custom URLs to include in your sitemaps. Format: one URL per line. For frontend sitemaps, specify both URL and page title separated by comma.","Adicione URLs personalizadas para incluir nos seus mapas do site. Formato: uma URL por linha. Para mapas do site frontend, especifique tanto a URL quanto o título da página separados por vírgula."
"Example:<br/>/promotions/, Our Promotions<br/>/customer/account/, Customer Account","Exemplo:<br/>/promotions/, Nossas Promoções<br/>/customer/account/, Conta do Cliente"
"Exclude by pattern","Excluir por padrão"
"Specify URL patterns to exclude from all sitemaps. Each pattern should be on a new line. Wildcards (*) are supported.","Especifique padrões de URL para excluir de todos os mapas do site. Cada padrão deve estar em uma nova linha. Caracteres curinga (*) são suportados."
"Example:<br/>/catalog/category/*<br/>/checkout/*","Exemplo:<br/>/catalog/category/*<br/>/checkout/*"
"Frontend sitemap settings","Configurações do mapa do site frontend"
"Configure how your HTML sitemap appears to visitors and search engines.","Configure como seu mapa do site HTML aparece para os visitantes e mecanismos de busca."
"Display settings","Configurações de exibição"
"Configure the visual presentation and user interface elements of your HTML sitemap. These settings control how the sitemap is displayed to visitors, including layout structure, navigation aids, and interactive features that enhance user experience.","Configure a apresentação visual e os elementos da interface do usuário do seu mapa do site HTML. Essas configurações controlam como o mapa do site é exibido aos visitantes, incluindo estrutura de layout, auxílios de navegação e recursos interativos que aprimoram a experiência do usuário."
"Columns count","Número de colunas"
"Define how many columns will display in the frontend sitemap. More columns can improve readability on large sites.","Defina quantas colunas serão exibidas no mapa do site frontend. Mais colunas podem melhorar a legibilidade em sites grandes."
"Valid values from 1 to 10","Valores válidos de 1 a 10"
"Alphabetical product grouping","Agrupamento alfabético de produtos"
"When enabled, products will be grouped alphabetically with capital letter headings, improving navigation for visitors.","Quando ativado, os produtos serão agrupados alfabeticamente com títulos em letras maiúsculas, melhorando a navegação para os visitantes."
"Show sitemap search box","Mostrar caixa de pesquisa do mapa do site"
"Display a search input field on the frontend sitemap page. Visitors can use this to filter and find specific content within the sitemap without scrolling through all entries.","Exiba um campo de entrada de pesquisa na página do mapa do site frontend. Os visitantes podem usá-lo para filtrar e encontrar conteúdo específico no mapa do site sem precisar rolar por todas as entradas."
"Pagination controls position","Posição dos controles de paginação"
"Configure where pagination navigation appears on the frontend sitemap: at the top of the page, bottom of the page, or both locations. For large sitemaps spanning multiple pages, placing controls at both top and bottom improves navigation usability.","Configure onde a navegação de paginação aparece no mapa do site frontend: no topo da página, no rodapé da página ou em ambos os locais. Para mapas do site grandes que abrangem várias páginas, colocar controles tanto no topo quanto no rodapé melhora a usabilidade da navegação."
"Cap product links per page","Limitar links de produto por página"
"Set maximum number of product links per page to prevent excessive page size. Pagination will be applied automatically if exceeded.","Defina o número máximo de links de produto por página para evitar tamanho excessivo da página. A paginação será aplicada automaticamente se excedido."
"SEO settings","Configurações de SEO"
"Define search engine optimization elements for your HTML sitemap page. These settings directly impact how the sitemap appears in search results and affect its discoverability by both users and crawlers.","Defina os elementos de otimização para mecanismos de busca da sua página de mapa do site HTML. Essas configurações impactam diretamente como o mapa do site aparece nos resultados de pesquisa e afetam sua descoberta tanto por usuários quanto por crawlers."
"Base URL path to frontend sitemap","Caminho URL base para o mapa do site frontend"
"Specify the URL path where the frontend sitemap will be accessible (e.g., 'map' will make it available at example.com/map).","Especifique o caminho URL onde o mapa do site frontend estará acessível (por exemplo, 'map' o tornará disponível em example.com/map)."
"Meta title","Meta título"
"Define the browser tab title for your sitemap page. Important for search engine indexing.","Defina o título da aba do navegador para a página do seu mapa do site. Importante para a indexação dos mecanismos de busca."
"Meta keywords","Meta palavras-chave"
"Define keywords for the sitemap page. While less important for modern SEO, this can still be useful for internal search.","Defina palavras-chave para a página do mapa do site. Embora menos importantes para o SEO moderno, isso ainda pode ser útil para a pesquisa interna."
"Meta description","Meta descrição"
"Define the meta description for your sitemap page. This text may appear in search engine results.","Defina a meta descrição para a página do seu mapa do site. Este texto pode aparecer nos resultados dos mecanismos de busca."
"H1 header","Cabeçalho H1"
"Define the main heading (H1) that appears on the sitemap page. Important for both usability and SEO.","Defina o título principal (H1) que aparece na página do mapa do site. Importante tanto para a usabilidade quanto para o SEO."
"Content settings","Configurações de conteúdo"
"Control which types of content are included in your HTML sitemap. These settings determine the scope and comprehensiveness of your sitemap, allowing you to tailor it to your site's specific navigation needs while considering performance implications for large catalogs.","Controle quais tipos de conteúdo são incluídos no seu mapa do site HTML. Essas configurações determinam o escopo e a abrangência do seu mapa do site, permitindo que você o adapte às necessidades de navegação específicas do seu site, considerando as implicações de desempenho para catálogos grandes."
"Show products","Mostrar produtos"
"When enabled, all products will be listed in the frontend sitemap. Consider performance impact for large catalogs.","Quando ativado, todos os produtos serão listados no mapa do site frontend. Considere o impacto no desempenho para catálogos grandes."
"Show categories","Mostrar categorias"
"When enabled, all categories will be included in the frontend sitemap.","Quando ativado, todas as categorias serão incluídas no mapa do site frontend."
"Show CMS pages","Mostrar páginas CMS"
"When enabled, CMS pages (except those excluded in General sitemap settings) will appear in the frontend sitemap.","Quando ativado, as páginas CMS (exceto as excluídas nas Configurações gerais do mapa do site) aparecerão no mapa do site frontend."
"Show additional links","Mostrar links adicionais"
"When enabled, additional links will be included in the frontend sitemap.","Quando ativado, os links adicionais serão incluídos no mapa do site frontend."
"Show stores","Mostrar lojas"
"When enabled, links to all store views will be included in the frontend sitemap. Useful for multi-language stores to improve navigation.","Quando ativado, os links para todas as visões da loja serão incluídos no mapa do site frontend. Útil para lojas multilíngues para melhorar a navegação."
"Show landing pages","Mostrar páginas de destino"
"When enabled, landing pages will be included in the frontend sitemap.","Quando ativado, as páginas de destino serão incluídas no mapa do site frontend."
"Show brands","Mostrar marcas"
"When enabled, brands will be included in the frontend sitemap.","Quando ativado, as marcas serão incluídas no mapa do site frontend."
"Show knowledge base","Mostrar base de conhecimento"
"When enabled, the knowledge base will be included in the frontend sitemap.","Quando ativado, a base de conhecimento será incluída no mapa do site frontend."
"Show blog","Mostrar blog"
"When enabled, the blog will be included in the frontend sitemap.","Quando ativado, o blog será incluído no mapa do site frontend."
"Show Aheadworks blog","Mostrar blog Aheadworks"
"When enabled, the Aheadworks blog will be included in the frontend sitemap.","Quando ativado, o blog Aheadworks será incluído no mapa do site frontend."
"Show FishPig blog","Mostrar blog FishPig"
"When enabled, the FishPig blog will be included in the frontend sitemap.","Quando ativado, o blog FishPig será incluído no mapa do site frontend."
"Show Mageplaza blog","Mostrar blog Mageplaza"
"When enabled, the Mageplaza blog will be included in the frontend sitemap.","Quando ativado, o blog Mageplaza será incluído no mapa do site frontend."
"Show Magefan blog","Mostrar blog Magefan"
"When enabled, the Magefan blog will be included in the frontend sitemap.","Quando ativado, o blog Magefan será incluído no mapa do site frontend."
"Show Amasty blog","Mostrar blog Amasty"
"When enabled, the Amasty blog will be included in the frontend sitemap.","Quando ativado, o blog Amasty será incluído no mapa do site frontend."
"Show Magezon blog","Mostrar blog Magezon"
"When enabled, the Magezon blog will be included in the frontend sitemap.","Quando ativado, o blog Magezon será incluído no mapa do site frontend."
"XML sitemap settings","Configurações do mapa do site XML"
"Configure XML sitemaps for search engine crawlers. These settings affect how search engines discover and index your site content.","Configure os mapas do site XML para crawlers dos mecanismos de busca. Essas configurações afetam como os mecanismos de busca descobrem e indexam o conteúdo do seu site."
"Common settings","Configurações comuns"
"Settings that apply to all XML sitemap entries regardless of content type.","Configurações que se aplicam a todas as entradas do mapa do site XML independentemente do tipo de conteúdo."
"Strip optional sitemap tags","Remover tags opcionais do mapa do site"
"When enabled, changefreq and priority tags will be removed from all XML sitemaps. Some SEO experts recommend this as these values are often ignored by search engines.","Quando ativado, as tags changefreq e priority serão removidas de todos os mapas do site XML. Alguns especialistas em SEO recomendam isso, pois esses valores são frequentemente ignorados pelos mecanismos de busca."
"Strip optional image tags","Remover tags de imagem opcionais"
"When enabled, image:title and image:caption tags will be removed from all XML sitemaps. Reduces sitemap file size and improves generation performance.","Quando ativado, as tags image:title e image:caption serão removidas de todos os mapas do site XML. Reduz o tamanho do arquivo do mapa do site e melhora o desempenho de geração."
"Strip PageMap tags","Remover tags PageMap"
"When enabled, PageMap tags will be removed from all XML sitemaps. PageMap is a deprecated Google feature rarely used in modern indexing. Enable to reduce sitemap complexity.","Quando ativado, as tags PageMap serão removidas de todos os mapas do site XML. PageMap é um recurso obsoleto do Google raramente usado na indexação moderna. Ative para reduzir a complexidade do mapa do site."
"Categories options","Opções de categorias"
"Configure how category pages appear in XML sitemaps.","Configure como as páginas de categoria aparecem nos mapas do site XML."
"Frequency","Frequência"
"Suggest to search engines how frequently category pages change. This is a hint only and may not affect crawl frequency.","Sugira aos mecanismos de busca com que frequência as páginas de categoria mudam. Esta é apenas uma sugestão e pode não afetar a frequência de rastreamento."
"Priority","Prioridade"
