"Home","Início"
"Go to Home Page","Ir para a página inicial"
"Categories","Categorias"
"Pages","Páginas"
"Products","Produtos"
"Stores","Lojas"
"Top of page","Topo da página"
"Bottom of page","Fundo da página"
"Both top and bottom","Topo e fundo"
"Disable","Desativar"
"Permanent only","Apenas permanente"
"All","Todos"
"Priority must be between 0 and 1","A prioridade deve estar entre 0 e 1"
"A cron job is required for automatic sitemap generation. Automatic generation can be configured at System > Configuration > Catalog > Google Sitemap > Generation Settings. Cron for Magento is not running. To set up a cron job, follow the link.","É necessário um cron job para a geração automática do mapa do site. A geração automática pode ser configurada em Sistema > Configuração > Catálogo > Google Sitemap > Definições de geração. O cron para Magento não está em execução. Para configurar um cron job, siga a hiperligação."
"Blog","Blogue"
"Blog Home","Página inicial do blogue"
"Brand","Marca"
"Knowledge Base","Base de conhecimento"
"Landing Pages","Páginas de destino"
"Search sitemap","Pesquisar no mapa do site"
"Search","Pesquisar"
"Search through sitemap items","Pesquisar nos itens do mapa do site"
"Visit %1 store","Visitar a loja %1"
"View %1 page","Ver a página %1"
"Additional Links","Hiperligações adicionais"
"Visit %1","Visitar %1"
"View %1","Ver %1"
"View category: %1","Ver categoria: %1"
"View product: %1","Ver produto: %1"
"Nothing to show, please change a search query","Nada a mostrar; altere a consulta de pesquisa"
"Extended sitemap","Mapa do site alargado"
"General sitemap settings","Definições gerais do mapa do site"
"Basic configuration options that affect both frontend and XML sitemaps.","Opções de configuração básicas que afetam tanto os mapas do site frontend como XML."
"Ignore CMS pages","Ignorar páginas CMS"
"Select pages that should not appear in any sitemaps. Useful for login, registration, and other utility pages.","Selecione as páginas que não devem aparecer em nenhum mapa do site. Útil para páginas de início de sessão, registo e outras páginas utilitárias."
"Include SEO rewrites in sitemap","Incluir reescritas SEO no mapa do site"
"When enabled, all SEO rewrite URLs with INDEX FOLLOW meta robots will be included in the sitemap. The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","Quando ativado, todos os URLs de reescrita SEO com meta robots INDEX FOLLOW serão incluídos no mapa do site. O padrão de hiperligação incluída não pode ser um nome de ação nem conter carateres universais. Para um mapa do site frontend, o campo <b>Título</b> é obrigatório."
"Exclude redirects from sitemap","Excluir redireccionamentos do mapa do site"
"Controls how redirect URLs are handled in sitemap generation. Excluding redirects prevents search engines from indexing redirect URLs, while including them allows crawlers to discover the redirect chain. Permanent redirects (301) typically should be excluded as they point to canonical URLs already in the sitemap.","Controla como os URLs de redireccionamento são tratados na geração do mapa do site. Excluir redireccionamentos impede que os motores de pesquisa indexem URLs de redireccionamento, enquanto incluí-los permite que os crawlers descubram a cadeia de redireccionamento. Os redireccionamentos permanentes (301) normalmente devem ser excluídos, pois apontam para URLs canónicos já presentes no mapa do site."
"Additional links","Hiperligações adicionais"
"Add custom URLs to include in your sitemaps. Format: one URL per line. For frontend sitemaps, specify both URL and page title separated by comma.","Adicione URLs personalizados para incluir nos seus mapas do site. Formato: um URL por linha. Para mapas do site frontend, especifique tanto o URL como o título da página separados por vírgula."
"Example:<br/>/promotions/, Our Promotions<br/>/customer/account/, Customer Account","Exemplo:<br/>/promotions/, As nossas promoções<br/>/customer/account/, Conta do cliente"
"Exclude by pattern","Excluir por padrão"
"Specify URL patterns to exclude from all sitemaps. Each pattern should be on a new line. Wildcards (*) are supported.","Especifique padrões de URL para excluir de todos os mapas do site. Cada padrão deve estar numa nova linha. Os carateres universais (*) são suportados."
"Example:<br/>/catalog/category/*<br/>/checkout/*","Exemplo:<br/>/catalog/category/*<br/>/checkout/*"
"Frontend sitemap settings","Definições do mapa do site frontend"
"Configure how your HTML sitemap appears to visitors and search engines.","Configure como o seu mapa do site HTML aparece para visitantes e motores de pesquisa."
"Display settings","Definições de apresentação"
"Configure the visual presentation and user interface elements of your HTML sitemap. These settings control how the sitemap is displayed to visitors, including layout structure, navigation aids, and interactive features that enhance user experience.","Configure a apresentação visual e os elementos de interface de utilizador do seu mapa do site HTML. Estas definições controlam como o mapa do site é apresentado aos visitantes, incluindo a estrutura de layout, auxiliares de navegação e funcionalidades interativas que melhoram a experiência do utilizador."
"Columns count","Número de colunas"
"Define how many columns will display in the frontend sitemap. More columns can improve readability on large sites.","Defina quantas colunas serão exibidas no mapa do site frontend. Mais colunas podem melhorar a legibilidade em sites grandes."
"Valid values from 1 to 10","Valores válidos de 1 a 10"
"Alphabetical product grouping","Agrupamento alfabético de produtos"
"When enabled, products will be grouped alphabetically with capital letter headings, improving navigation for visitors.","Quando ativado, os produtos serão agrupados alfabeticamente com cabeçalhos de letras maiúsculas, melhorando a navegação para os visitantes."
"Show sitemap search box","Mostrar caixa de pesquisa do mapa do site"
"Display a search input field on the frontend sitemap page. Visitors can use this to filter and find specific content within the sitemap without scrolling through all entries.","Exiba um campo de pesquisa na página do mapa do site frontend. Os visitantes podem usar isto para filtrar e encontrar conteúdo específico no mapa do site sem percorrer todas as entradas."
"Pagination controls position","Posição dos controlos de paginação"
"Configure where pagination navigation appears on the frontend sitemap: at the top of the page, bottom of the page, or both locations. For large sitemaps spanning multiple pages, placing controls at both top and bottom improves navigation usability.","Configure onde a navegação de paginação aparece no mapa do site frontend: no topo da página, no fundo da página ou em ambas as localizações. Para mapas do site grandes que abrangem múltiplas páginas, colocar controlos no topo e no fundo melhora a usabilidade da navegação."
"Cap product links per page","Limitar hiperligações de produto por página"
"Set maximum number of product links per page to prevent excessive page size. Pagination will be applied automatically if exceeded.","Defina o número máximo de hiperligações de produto por página para evitar tamanhos de página excessivos. A paginação será aplicada automaticamente se excedido."
"SEO settings","Definições SEO"
"Define search engine optimization elements for your HTML sitemap page. These settings directly impact how the sitemap appears in search results and affect its discoverability by both users and crawlers.","Defina elementos de otimização para motores de pesquisa para a sua página de mapa do site HTML. Estas definições afetam diretamente a forma como o mapa do site aparece nos resultados de pesquisa e a sua capacidade de descoberta por utilizadores e crawlers."
"Base URL path to frontend sitemap","Caminho URL base para o mapa do site frontend"
"Specify the URL path where the frontend sitemap will be accessible (e.g., 'map' will make it available at example.com/map).","Especifique o caminho URL onde o mapa do site frontend será acessível (p. ex., 'map' tornará disponível em example.com/map)."
"Meta title","Meta título"
"Define the browser tab title for your sitemap page. Important for search engine indexing.","Defina o título do separador do browser para a sua página de mapa do site. Importante para indexação nos motores de pesquisa."
"Meta keywords","Meta palavras-chave"
"Define keywords for the sitemap page. While less important for modern SEO, this can still be useful for internal search.","Defina palavras-chave para a página do mapa do site. Embora menos importantes para o SEO moderno, ainda podem ser úteis para pesquisa interna."
"Meta description","Meta descrição"
"Define the meta description for your sitemap page. This text may appear in search engine results.","Defina a meta descrição para a sua página de mapa do site. Este texto pode aparecer nos resultados dos motores de pesquisa."
"H1 header","Cabeçalho H1"
"Define the main heading (H1) that appears on the sitemap page. Important for both usability and SEO.","Defina o cabeçalho principal (H1) que aparece na página do mapa do site. Importante tanto para a usabilidade como para o SEO."
"Content settings","Definições de conteúdo"
"Control which types of content are included in your HTML sitemap. These settings determine the scope and comprehensiveness of your sitemap, allowing you to tailor it to your site's specific navigation needs while considering performance implications for large catalogs.","Controle quais os tipos de conteúdo incluídos no seu mapa do site HTML. Estas definições determinam o âmbito e a abrangência do seu mapa do site, permitindo adaptá-lo às necessidades de navegação específicas do seu site tendo em consideração as implicações de desempenho para catálogos grandes."
"Show products","Mostrar produtos"
"When enabled, all products will be listed in the frontend sitemap. Consider performance impact for large catalogs.","Quando ativado, todos os produtos serão listados no mapa do site frontend. Considere o impacto no desempenho para catálogos grandes."
"Show categories","Mostrar categorias"
"When enabled, all categories will be included in the frontend sitemap.","Quando ativado, todas as categorias serão incluídas no mapa do site frontend."
"Show CMS pages","Mostrar páginas CMS"
"When enabled, CMS pages (except those excluded in General sitemap settings) will appear in the frontend sitemap.","Quando ativado, as páginas CMS (exceto as excluídas nas definições gerais do mapa do site) aparecerão no mapa do site frontend."
"Show additional links","Mostrar hiperligações adicionais"
"When enabled, additional links will be included in the frontend sitemap.","Quando ativado, as hiperligações adicionais serão incluídas no mapa do site frontend."
"Show stores","Mostrar lojas"
"When enabled, links to all store views will be included in the frontend sitemap. Useful for multi-language stores to improve navigation.","Quando ativado, as hiperligações para todas as vistas de loja serão incluídas no mapa do site frontend. Útil para lojas com múltiplos idiomas para melhorar a navegação."
"Show landing pages","Mostrar páginas de destino"
"When enabled, landing pages will be included in the frontend sitemap.","Quando ativado, as páginas de destino serão incluídas no mapa do site frontend."
"Show brands","Mostrar marcas"
"When enabled, brands will be included in the frontend sitemap.","Quando ativado, as marcas serão incluídas no mapa do site frontend."
"Show knowledge base","Mostrar base de conhecimento"
"When enabled, the knowledge base will be included in the frontend sitemap.","Quando ativado, a base de conhecimento será incluída no mapa do site frontend."
"Show blog","Mostrar blogue"
"When enabled, the blog will be included in the frontend sitemap.","Quando ativado, o blogue será incluído no mapa do site frontend."
"Show Aheadworks blog","Mostrar blogue Aheadworks"
"When enabled, the Aheadworks blog will be included in the frontend sitemap.","Quando ativado, o blogue Aheadworks será incluído no mapa do site frontend."
"Show FishPig blog","Mostrar blogue FishPig"
"When enabled, the FishPig blog will be included in the frontend sitemap.","Quando ativado, o blogue FishPig será incluído no mapa do site frontend."
"Show Mageplaza blog","Mostrar blogue Mageplaza"
"When enabled, the Mageplaza blog will be included in the frontend sitemap.","Quando ativado, o blogue Mageplaza será incluído no mapa do site frontend."
"Show Magefan blog","Mostrar blogue Magefan"
"When enabled, the Magefan blog will be included in the frontend sitemap.","Quando ativado, o blogue Magefan será incluído no mapa do site frontend."
"Show Amasty blog","Mostrar blogue Amasty"
"When enabled, the Amasty blog will be included in the frontend sitemap.","Quando ativado, o blogue Amasty será incluído no mapa do site frontend."
"Show Magezon blog","Mostrar blogue Magezon"
"When enabled, the Magezon blog will be included in the frontend sitemap.","Quando ativado, o blogue Magezon será incluído no mapa do site frontend."
"XML sitemap settings","Definições do mapa do site XML"
"Configure XML sitemaps for search engine crawlers. These settings affect how search engines discover and index your site content.","Configure mapas do site XML para crawlers de motores de pesquisa. Estas definições afetam a forma como os motores de pesquisa descobrem e indexam o conteúdo do seu site."
"Common settings","Definições comuns"
"Settings that apply to all XML sitemap entries regardless of content type.","Definições que se aplicam a todas as entradas do mapa do site XML independentemente do tipo de conteúdo."
"Strip optional sitemap tags","Remover etiquetas opcionais do mapa do site"
"When enabled, changefreq and priority tags will be removed from all XML sitemaps. Some SEO experts recommend this as these values are often ignored by search engines.","Quando ativado, as etiquetas changefreq e priority serão removidas de todos os mapas do site XML. Alguns especialistas em SEO recomendam isto, pois estes valores são frequentemente ignorados pelos motores de pesquisa."
"Strip optional image tags","Remover etiquetas de imagem opcionais"
"When enabled, image:title and image:caption tags will be removed from all XML sitemaps. Reduces sitemap file size and improves generation performance.","Quando ativado, as etiquetas image:title e image:caption serão removidas de todos os mapas do site XML. Reduz o tamanho do ficheiro do mapa do site e melhora o desempenho de geração."
"Strip PageMap tags","Remover etiquetas PageMap"
"When enabled, PageMap tags will be removed from all XML sitemaps. PageMap is a deprecated Google feature rarely used in modern indexing. Enable to reduce sitemap complexity.","Quando ativado, as etiquetas PageMap serão removidas de todos os mapas do site XML. PageMap é uma funcionalidade obsoleta do Google raramente usada na indexação moderna. Ative para reduzir a complexidade do mapa do site."
"Categories options","Opções de categorias"
"Configure how category pages appear in XML sitemaps.","Configure como as páginas de categoria aparecem nos mapas do site XML."
"Frequency","Frequência"
"Suggest to search engines how frequently category pages change. This is a hint only and may not affect crawl frequency.","Sugira aos motores de pesquisa com que frequência as páginas de categoria mudam. Isto é apenas uma sugestão e pode não afetar a frequência de rastreamento."
