"Home","Hem"
"Go to Home Page","Gå till startsidan"
"Categories","Kategorier"
"Pages","Sidor"
"Products","Produkter"
"Stores","Butiker"
"Top of page","Överst på sidan"
"Bottom of page","Längst ner på sidan"
"Both top and bottom","Både topp och botten"
"Disable","Inaktivera"
"Permanent only","Endast permanent"
"All","Alla"
"Priority must be between 0 and 1","Prioriteten måste vara mellan 0 och 1"
"A cron job is required for automatic sitemap generation. Automatic generation can be configured at System > Configuration > Catalog > Google Sitemap > Generation Settings. Cron for Magento is not running. To set up a cron job, follow the link.","Ett cron-jobb krävs för automatisk generering av webbplatskarta. Automatisk generering kan konfigureras under System > Konfiguration > Katalog > Google Sitemap > Genereringsinställningar. Cron för Magento körs inte. Följ länken för att konfigurera ett cron-jobb."
"Blog","Blogg"
"Blog Home","Bloggens startsida"
"Brand","Varumärke"
"Knowledge Base","Kunskapsbas"
"Landing Pages","Landningssidor"
"Search sitemap","Sök i webbplatskartan"
"Search","Sök"
"Search through sitemap items","Sök bland webbplatskartobjekt"
"Visit %1 store","Besök butiken %1"
"View %1 page","Visa sidan %1"
"Additional Links","Ytterligare länkar"
"Visit %1","Besök %1"
"View %1","Visa %1"
"View category: %1","Visa kategori: %1"
"View product: %1","Visa produkt: %1"
"Nothing to show, please change a search query","Inget att visa, ändra sökfrågan"
"Extended sitemap","Utökad webbplatskarta"
"General sitemap settings","Allmänna inställningar för webbplatskarta"
"Basic configuration options that affect both frontend and XML sitemaps.","Grundläggande konfigurationsalternativ som påverkar både frontend- och XML-webbplatskartor."
"Ignore CMS pages","Ignorera CMS-sidor"
"Select pages that should not appear in any sitemaps. Useful for login, registration, and other utility pages.","Välj sidor som inte ska visas i några webbplatskartor. Användbart för inloggnings-, registrerings- och andra verktygssidor."
"Include SEO rewrites in sitemap","Inkludera SEO-omskrivningar i webbplatskartan"
"When enabled, all SEO rewrite URLs with INDEX FOLLOW meta robots will be included in the sitemap. The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","När aktiverat inkluderas alla SEO-omskrivnings-URL:er med INDEX FOLLOW meta robots i webbplatskartan. Det inkluderade länkmönstret får inte vara ett åtgärdsnamn eller innehålla jokertecken. För en frontend-webbplatskarta krävs fältet <b>Titel</b>."
"Exclude redirects from sitemap","Exkludera omdirigeringar från webbplatskartan"
"Controls how redirect URLs are handled in sitemap generation. Excluding redirects prevents search engines from indexing redirect URLs, while including them allows crawlers to discover the redirect chain. Permanent redirects (301) typically should be excluded as they point to canonical URLs already in the sitemap.","Styr hur omdirigerings-URL:er hanteras vid generering av webbplatskarta. Att exkludera omdirigeringar förhindrar sökmotorer från att indexera omdirigerings-URL:er, medan att inkludera dem låter crawlers upptäcka omdirigeringskedjan. Permanenta omdirigeringar (301) bör vanligtvis exkluderas eftersom de pekar på kanoniska URL:er som redan finns i webbplatskartan."
"Additional links","Ytterligare länkar"
"Add custom URLs to include in your sitemaps. Format: one URL per line. For frontend sitemaps, specify both URL and page title separated by comma.","Lägg till anpassade URL:er för att inkludera i dina webbplatskartor. Format: en URL per rad. För frontend-webbplatskartor, ange både URL och sidtitel separerade med komma."
"Example:<br/>/promotions/, Our Promotions<br/>/customer/account/, Customer Account","Exempel:<br/>/promotions/, Våra kampanjer<br/>/customer/account/, Kundkonto"
"Exclude by pattern","Exkludera efter mönster"
