"A canonical tag is set for this page.","Pro tuto stránku je nastaven tag canonical."
"No canonical tag is set for this page.","Pro tuto stránku není nastaven žádný tag canonical."
"There is no H1 tag on the page.","Na stránce není žádný tag H1."
"One H1 tag — optimal.","Jeden tag H1 — optimální."
"Multiple H1 tags found. Try to use only one H1 tag.","Nalezeno více tagů H1. Zkuste používat pouze jeden tag H1."
"<%1>: %2","<%1>: %2"
"%1 image(s) without ALT tag","%1 obrázků bez tagu ALT"
"%1 images with correct alt attribute.","%1 obrázků se správným atributem alt."
"%1 characters — not good. Try to enlarge it to 160 characters.","%1 znaků — není dobré. Zkuste zvětšit na 160 znaků."
"%1 characters — not good. Try to minimize it to 300 characters.","%1 znaků — není dobré. Zkuste zmenšit na 300 znaků."
"%1 characters — optimal.","%1 znaků — optimální."
"%1 characters, %2 words.","%1 znaků, %2 slov."
"Is not set","Není nastaveno"
"No cross-links detected","Žádné křížové odkazy nebyly detekovány"
"Cross-links successfully applied","Křížové odkazy byly úspěšně aplikovány"
"%1 characters — not good. Try to enlarge it to 10 characters.","%1 znaků — není dobré. Zkuste zvětšit na 10 znaků."
"%1 characters — not good. Try to minimize it to 70 characters.","%1 znaků — není dobré. Zkuste zmenšit na 70 znaků."
"Page analysis","Analýza stránky"
"Close SEO Toolbar","Zavřít SEO panel"
"SEO toolbar settings","Nastavení SEO panelu"
"Configure the SEO toolbar's visibility and access restrictions. The toolbar provides real-time SEO analysis information directly in your storefront.","Nakonfigurujte viditelnost a omezení přístupu SEO panelu. Panel poskytuje informace o SEO analýze v reálném čase přímo ve vašem obchodě."
"Enable toolbar","Povolit panel"
"When enabled, the SEO toolbar will be displayed according to the IP restrictions below. Disable to completely turn off the toolbar functionality.","Pokud je povoleno, SEO panel bude zobrazen podle IP omezení níže. Zakažte pro úplné vypnutí funkce panelu."
"Show toolbar only for IPs","Zobrazit panel pouze pro IP adresy"
"For security, enter comma-separated IP addresses that are allowed to see the toolbar. Leave empty to show the toolbar for all IPs. Example: 192.168.1.1,10.0.0.1","Z bezpečnostních důvodů zadejte IP adresy oddělené čárkami, které mají povoleno vidět panel. Nechte prázdné pro zobrazení panelu pro všechny IP adresy. Příklad: 192.168.1.1,10.0.0.1"
"Disable toolbar for links","Zakázat panel pro odkazy"
"Specify links (one per line) where the toolbar should be disabled (e.g., /customer/login or /checkout).","Zadejte odkazy (jeden na řádek), kde má být panel zakázán (např. /customer/login nebo /checkout)."
