"A canonical tag is set for this page.","Für diese Seite ist ein Canonical-Tag gesetzt."
"No canonical tag is set for this page.","Für diese Seite ist kein Canonical-Tag gesetzt."
"There is no H1 tag on the page.","Es gibt kein H1-Tag auf der Seite."
"One H1 tag — optimal.","Ein H1-Tag — optimal."
"Multiple H1 tags found. Try to use only one H1 tag.","Mehrere H1-Tags gefunden. Versuchen Sie, nur ein H1-Tag zu verwenden."
"<%1>: %2","<%1>: %2"
"%1 image(s) without ALT tag","%1 Bild(er) ohne ALT-Tag"
"%1 images with correct alt attribute.","%1 Bilder mit korrektem Alt-Attribut."
"%1 characters — not good. Try to enlarge it to 160 characters.","%1 Zeichen — nicht gut. Versuchen Sie, es auf 160 Zeichen zu erweitern."
"%1 characters — not good. Try to minimize it to 300 characters.","%1 Zeichen — nicht gut. Versuchen Sie, es auf 300 Zeichen zu reduzieren."
"%1 characters — optimal.","%1 Zeichen — optimal."
"%1 characters, %2 words.","%1 Zeichen, %2 Wörter."
"Is not set","Nicht gesetzt"
"No cross-links detected","Keine Cross-Links erkannt"
"Cross-links successfully applied","Cross-Links erfolgreich angewendet"
"%1 characters — not good. Try to enlarge it to 10 characters.","%1 Zeichen — nicht gut. Versuchen Sie, es auf 10 Zeichen zu erweitern."
"%1 characters — not good. Try to minimize it to 70 characters.","%1 Zeichen — nicht gut. Versuchen Sie, es auf 70 Zeichen zu reduzieren."
"Page analysis","Seitenanalyse"
"Close SEO Toolbar","SEO-Toolbar schließen"
"SEO toolbar settings","SEO-Toolbar-Einstellungen"
"Configure the SEO toolbar's visibility and access restrictions. The toolbar provides real-time SEO analysis information directly in your storefront.","Die Sichtbarkeit und Zugriffsbeschränkungen der SEO-Toolbar konfigurieren. Die Toolbar liefert Echtzeit-SEO-Analyseinformationen direkt in Ihrem Shop."
"Enable toolbar","Toolbar aktivieren"
"When enabled, the SEO toolbar will be displayed according to the IP restrictions below. Disable to completely turn off the toolbar functionality.","Wenn aktiviert, wird die SEO-Toolbar entsprechend den IP-Beschränkungen unten angezeigt. Deaktivieren, um die Toolbar-Funktionalität vollständig auszuschalten."
"Show toolbar only for IPs","Toolbar nur für IPs anzeigen"
"For security, enter comma-separated IP addresses that are allowed to see the toolbar. Leave empty to show the toolbar for all IPs. Example: 192.168.1.1,10.0.0.1","Aus Sicherheitsgründen durch Komma getrennte IP-Adressen eingeben, die die Toolbar sehen dürfen. Leer lassen, um die Toolbar für alle IPs anzuzeigen. Beispiel: 192.168.1.1,10.0.0.1"
"Disable toolbar for links","Toolbar für Links deaktivieren"
"Specify links (one per line) where the toolbar should be disabled (e.g., /customer/login or /checkout).","Links angeben (einen pro Zeile), bei denen die Toolbar deaktiviert werden soll (z. B. /customer/login oder /checkout)."
