"A canonical tag is set for this page.","A canonical tag is set for this page."
"No canonical tag is set for this page.","No canonical tag is set for this page."
"There is no H1 tag on the page.","There is no H1 tag on the page."
"One H1 tag — optimal.","One H1 tag — optimal."
"Multiple H1 tags found. Try to use only one H1 tag.","Multiple H1 tags found. Try to use only one H1 tag."
"<%1>: %2","<%1>: %2"
"%1 image(s) without ALT tag","%1 image(s) without ALT tag"
"%1 images with correct alt attribute.","%1 images with correct alt attribute."
"%1 characters — not good. Try to enlarge it to 160 characters.","%1 characters — not good. Try to enlarge it to 160 characters."
"%1 characters — not good. Try to minimize it to 300 characters.","%1 characters — not good. Try to minimize it to 300 characters."
"%1 characters — optimal.","%1 characters — optimal."
"%1 characters, %2 words.","%1 characters, %2 words."
"Is not set","Is not set"
"No cross-links detected","No cross-links detected"
"Cross-links successfully applied","Cross-links successfully applied"
"%1 characters — not good. Try to enlarge it to 10 characters.","%1 characters — not good. Try to enlarge it to 10 characters."
"%1 characters — not good. Try to minimize it to 70 characters.","%1 characters — not good. Try to minimize it to 70 characters."
"Page analysis","Page analysis"
"Close SEO Toolbar","Close SEO Toolbar"
"SEO toolbar settings","SEO toolbar settings"
"Configure the SEO toolbar's visibility and access restrictions. The toolbar provides real-time SEO analysis information directly in your storefront.","Configure the SEO toolbar's visibility and access restrictions. The toolbar provides real-time SEO analysis information directly in your storefront."
"Enable toolbar","Enable toolbar"
"When enabled, the SEO toolbar will be displayed according to the IP restrictions below. Disable to completely turn off the toolbar functionality.","When enabled, the SEO toolbar will be displayed according to the IP restrictions below. Disable to completely turn off the toolbar functionality."
"Show toolbar only for IPs","Show toolbar only for IPs"
"For security, enter comma-separated IP addresses that are allowed to see the toolbar. Leave empty to show the toolbar for all IPs. Example: 192.168.1.1,10.0.0.1","For security, enter comma-separated IP addresses that are allowed to see the toolbar. Leave empty to show the toolbar for all IPs. Example: 192.168.1.1,10.0.0.1"
"Disable toolbar for links","Disable toolbar for links"
"Specify links (one per line) where the toolbar should be disabled (e.g., /customer/login or /checkout).","Specify links (one per line) where the toolbar should be disabled (e.g., /customer/login or /checkout)."
