"A canonical tag is set for this page.","Se ha establecido una etiqueta canonical para esta página."
"No canonical tag is set for this page.","No se ha establecido ninguna etiqueta canonical para esta página."
"There is no H1 tag on the page.","No hay ninguna etiqueta H1 en la página."
"One H1 tag — optimal.","Una etiqueta H1 — óptimo."
"Multiple H1 tags found. Try to use only one H1 tag.","Se encontraron múltiples etiquetas H1. Intente usar solo una etiqueta H1."
"<%1>: %2","<%1>: %2"
"%1 image(s) without ALT tag","%1 imagen(es) sin etiqueta ALT"
"%1 images with correct alt attribute.","%1 imágenes con atributo alt correcto."
"%1 characters — not good. Try to enlarge it to 160 characters.","%1 caracteres — no es bueno. Intente ampliarlo a 160 caracteres."
"%1 characters — not good. Try to minimize it to 300 characters.","%1 caracteres — no es bueno. Intente reducirlo a 300 caracteres."
"%1 characters — optimal.","%1 caracteres — óptimo."
"%1 characters, %2 words.","%1 caracteres, %2 palabras."
"Is not set","No está establecido"
"No cross-links detected","No se detectaron enlaces cruzados"
"Cross-links successfully applied","Enlaces cruzados aplicados correctamente"
"%1 characters — not good. Try to enlarge it to 10 characters.","%1 caracteres — no es bueno. Intente ampliarlo a 10 caracteres."
"%1 characters — not good. Try to minimize it to 70 characters.","%1 caracteres — no es bueno. Intente reducirlo a 70 caracteres."
"Page analysis","Análisis de página"
"Close SEO Toolbar","Cerrar barra de herramientas SEO"
"SEO toolbar settings","Configuración de la barra de herramientas SEO"
"Configure the SEO toolbar's visibility and access restrictions. The toolbar provides real-time SEO analysis information directly in your storefront.","Configure la visibilidad y las restricciones de acceso de la barra de herramientas SEO. La barra de herramientas proporciona información de análisis SEO en tiempo real directamente en su tienda."
"Enable toolbar","Habilitar barra de herramientas"
"When enabled, the SEO toolbar will be displayed according to the IP restrictions below. Disable to completely turn off the toolbar functionality.","Cuando está habilitado, la barra de herramientas SEO se mostrará de acuerdo con las restricciones de IP a continuación. Deshabilite para apagar completamente la funcionalidad de la barra de herramientas."
"Show toolbar only for IPs","Mostrar barra de herramientas solo para IPs"
"For security, enter comma-separated IP addresses that are allowed to see the toolbar. Leave empty to show the toolbar for all IPs. Example: 192.168.1.1,10.0.0.1","Por seguridad, ingrese las direcciones IP separadas por coma que pueden ver la barra de herramientas. Deje vacío para mostrar la barra de herramientas para todas las IPs. Ejemplo: 192.168.1.1,10.0.0.1"
"Disable toolbar for links","Deshabilitar barra de herramientas para enlaces"
"Specify links (one per line) where the toolbar should be disabled (e.g., /customer/login or /checkout).","Especifique los enlaces (uno por línea) donde la barra de herramientas debe estar deshabilitada (por ejemplo, /customer/login o /checkout)."
