"A canonical tag is set for this page.","Une balise canonique est définie pour cette page."
"No canonical tag is set for this page.","Aucune balise canonique n'est définie pour cette page."
"There is no H1 tag on the page.","Il n'y a pas de balise H1 sur la page."
"One H1 tag — optimal.","Une balise H1 — optimal."
"Multiple H1 tags found. Try to use only one H1 tag.","Plusieurs balises H1 trouvées. Essayez d'utiliser une seule balise H1."
"<%1>: %2","<%1> : %2"
"%1 image(s) without ALT tag","%1 image(s) sans balise ALT"
"%1 images with correct alt attribute.","%1 images avec un attribut alt correct."
"%1 characters — not good. Try to enlarge it to 160 characters.","%1 caractères — pas suffisant. Essayez d'atteindre 160 caractères."
"%1 characters — not good. Try to minimize it to 300 characters.","%1 caractères — trop long. Essayez de le réduire à 300 caractères."
"%1 characters — optimal.","%1 caractères — optimal."
"%1 characters, %2 words.","%1 caractères, %2 mots."
"Is not set","Non défini"
"No cross-links detected","Aucun lien croisé détecté"
"Cross-links successfully applied","Liens croisés appliqués avec succès"
"%1 characters — not good. Try to enlarge it to 10 characters.","%1 caractères — pas suffisant. Essayez d'atteindre 10 caractères."
"%1 characters — not good. Try to minimize it to 70 characters.","%1 caractères — trop long. Essayez de le réduire à 70 caractères."
"Page analysis","Analyse de la page"
"Close SEO Toolbar","Fermer la barre d'outils SEO"
"SEO toolbar settings","Paramètres de la barre d'outils SEO"
"Configure the SEO toolbar's visibility and access restrictions. The toolbar provides real-time SEO analysis information directly in your storefront.","Configurez la visibilité et les restrictions d'accès de la barre d'outils SEO. La barre d'outils fournit des informations d'analyse SEO en temps réel directement dans votre boutique."
"Enable toolbar","Activer la barre d'outils"
"When enabled, the SEO toolbar will be displayed according to the IP restrictions below. Disable to completely turn off the toolbar functionality.","Lorsqu'elle est activée, la barre d'outils SEO sera affichée selon les restrictions IP ci-dessous. Désactivez pour désactiver complètement la fonctionnalité de la barre d'outils."
"Show toolbar only for IPs","Afficher la barre d'outils uniquement pour les IP"
"For security, enter comma-separated IP addresses that are allowed to see the toolbar. Leave empty to show the toolbar for all IPs. Example: 192.168.1.1,10.0.0.1","Pour des raisons de sécurité, saisissez des adresses IP séparées par des virgules autorisées à voir la barre d'outils. Laissez vide pour afficher la barre d'outils pour toutes les IP. Exemple : 192.168.1.1,10.0.0.1"
"Disable toolbar for links","Désactiver la barre d'outils pour les liens"
"Specify links (one per line) where the toolbar should be disabled (e.g., /customer/login or /checkout).","Spécifiez les liens (un par ligne) pour lesquels la barre d'outils doit être désactivée (p. ex., /customer/login ou /checkout)."
