"A canonical tag is set for this page.","Un tag canonical è impostato per questa pagina."
"No canonical tag is set for this page.","Nessun tag canonical è impostato per questa pagina."
"There is no H1 tag on the page.","Non è presente alcun tag H1 nella pagina."
"One H1 tag — optimal.","Un tag H1 — ottimale."
"Multiple H1 tags found. Try to use only one H1 tag.","Trovati più tag H1. Prova a utilizzare un solo tag H1."
"<%1>: %2","<%1>: %2"
"%1 image(s) without ALT tag","%1 immagine/i senza tag ALT"
"%1 images with correct alt attribute.","%1 immagini con attributo alt corretto."
"%1 characters — not good. Try to enlarge it to 160 characters.","%1 caratteri — non ottimale. Prova ad aumentarlo a 160 caratteri."
"%1 characters — not good. Try to minimize it to 300 characters.","%1 caratteri — non ottimale. Prova a ridurlo a 300 caratteri."
"%1 characters — optimal.","%1 caratteri — ottimale."
"%1 characters, %2 words.","%1 caratteri, %2 parole."
"Is not set","Non impostato"
"No cross-links detected","Nessun collegamento incrociato rilevato"
"Cross-links successfully applied","Collegamenti incrociati applicati con successo"
"%1 characters — not good. Try to enlarge it to 10 characters.","%1 caratteri — non ottimale. Prova ad aumentarlo a 10 caratteri."
"%1 characters — not good. Try to minimize it to 70 characters.","%1 caratteri — non ottimale. Prova a ridurlo a 70 caratteri."
"Page analysis","Analisi della pagina"
"Close SEO Toolbar","Chiudi barra degli strumenti SEO"
"SEO toolbar settings","Impostazioni della barra degli strumenti SEO"
"Configure the SEO toolbar's visibility and access restrictions. The toolbar provides real-time SEO analysis information directly in your storefront.","Configura la visibilità e le restrizioni di accesso della barra degli strumenti SEO. La barra degli strumenti fornisce informazioni di analisi SEO in tempo reale direttamente nel tuo negozio."
"Enable toolbar","Abilita barra degli strumenti"
"When enabled, the SEO toolbar will be displayed according to the IP restrictions below. Disable to completely turn off the toolbar functionality.","Quando abilitata, la barra degli strumenti SEO verrà visualizzata in base alle restrizioni IP seguenti. Disabilita per spegnere completamente la funzionalità della barra degli strumenti."
"Show toolbar only for IPs","Mostra barra degli strumenti solo per IP"
"For security, enter comma-separated IP addresses that are allowed to see the toolbar. Leave empty to show the toolbar for all IPs. Example: 192.168.1.1,10.0.0.1","Per sicurezza, inserisci gli indirizzi IP separati da virgola autorizzati a visualizzare la barra degli strumenti. Lascia vuoto per mostrare la barra degli strumenti per tutti gli IP. Esempio: 192.168.1.1,10.0.0.1"
"Disable toolbar for links","Disabilita barra degli strumenti per i link"
"Specify links (one per line) where the toolbar should be disabled (e.g., /customer/login or /checkout).","Specifica i link (uno per riga) dove la barra degli strumenti deve essere disabilitata (ad es. /customer/login o /checkout)."
