"A canonical tag is set for this page.","このページにはcanonicalタグが設定されています。"
"No canonical tag is set for this page.","このページにはcanonicalタグが設定されていません。"
"There is no H1 tag on the page.","このページにH1タグがありません。"
"One H1 tag — optimal.","H1タグが1つ — 最適です。"
"Multiple H1 tags found. Try to use only one H1 tag.","H1タグが複数見つかりました。H1タグは1つだけ使用してください。"
"<%1>: %2","<%1>: %2"
"%1 image(s) without ALT tag","ALTタグのない画像が%1枚あります"
"%1 images with correct alt attribute.","%1枚の画像に正しいalt属性が設定されています。"
"%1 characters — not good. Try to enlarge it to 160 characters.","%1文字 — 不十分です。160文字まで増やしてください。"
"%1 characters — not good. Try to minimize it to 300 characters.","%1文字 — 多すぎます。300文字以内に抑えてください。"
"%1 characters — optimal.","%1文字 — 最適です。"
"%1 characters, %2 words.","%1文字、%2語。"
"Is not set","未設定"
"No cross-links detected","クロスリンクは検出されませんでした"
"Cross-links successfully applied","クロスリンクが正常に適用されました"
"%1 characters — not good. Try to enlarge it to 10 characters.","%1文字 — 不十分です。10文字まで増やしてください。"
"%1 characters — not good. Try to minimize it to 70 characters.","%1文字 — 多すぎます。70文字以内に抑えてください。"
"Page analysis","ページ分析"
"Close SEO Toolbar","SEOツールバーを閉じる"
"SEO toolbar settings","SEOツールバー設定"
"Configure the SEO toolbar's visibility and access restrictions. The toolbar provides real-time SEO analysis information directly in your storefront.","SEOツールバーの表示設定とアクセス制限を設定してください。ツールバーはストアフロントにリアルタイムのSEO分析情報を直接提供します。"
"Enable toolbar","ツールバーを有効化"
"When enabled, the SEO toolbar will be displayed according to the IP restrictions below. Disable to completely turn off the toolbar functionality.","有効にすると、SEOツールバーは下記のIP制限に従って表示されます。無効にするとツールバー機能が完全にオフになります。"
"Show toolbar only for IPs","指定IPのみツールバーを表示"
"For security, enter comma-separated IP addresses that are allowed to see the toolbar. Leave empty to show the toolbar for all IPs. Example: 192.168.1.1,10.0.0.1","セキュリティのため、ツールバーの表示を許可するIPアドレスをカンマ区切りで入力してください。すべてのIPに表示する場合は空のままにしてください。例: 192.168.1.1,10.0.0.1"
"Disable toolbar for links","リンクのツールバーを無効化"
"Specify links (one per line) where the toolbar should be disabled (e.g., /customer/login or /checkout).","ツールバーを無効にするリンクを1行に1つ指定してください（例: /customer/login または /checkout）。"
