"A canonical tag is set for this page.","Er is een canonieke tag ingesteld voor deze pagina."
"No canonical tag is set for this page.","Er is geen canonieke tag ingesteld voor deze pagina."
"There is no H1 tag on the page.","Er is geen H1-tag op de pagina."
"One H1 tag — optimal.","Één H1-tag — optimaal."
"Multiple H1 tags found. Try to use only one H1 tag.","Meerdere H1-tags gevonden. Probeer slechts één H1-tag te gebruiken."
"<%1>: %2","<%1>: %2"
"%1 image(s) without ALT tag","%1 afbeelding(en) zonder ALT-tag"
"%1 images with correct alt attribute.","%1 afbeeldingen met correct alt-attribuut."
"%1 characters — not good. Try to enlarge it to 160 characters.","%1 tekens — niet goed. Probeer het uit te breiden naar 160 tekens."
"%1 characters — not good. Try to minimize it to 300 characters.","%1 tekens — niet goed. Probeer het te beperken tot 300 tekens."
"%1 characters — optimal.","%1 tekens — optimaal."
"%1 characters, %2 words.","%1 tekens, %2 woorden."
"Is not set","Niet ingesteld"
"No cross-links detected","Geen kruislinks gedetecteerd"
"Cross-links successfully applied","Kruislinks succesvol toegepast"
"%1 characters — not good. Try to enlarge it to 10 characters.","%1 tekens — niet goed. Probeer het uit te breiden naar 10 tekens."
"%1 characters — not good. Try to minimize it to 70 characters.","%1 tekens — niet goed. Probeer het te beperken tot 70 tekens."
"Page analysis","Paginaanalyse"
"Close SEO Toolbar","SEO-werkbalk sluiten"
"SEO toolbar settings","SEO-werkbalkinstellingen"
"Configure the SEO toolbar's visibility and access restrictions. The toolbar provides real-time SEO analysis information directly in your storefront.","Configureer de zichtbaarheid en toegangsbeperkingen van de SEO-werkbalk. De werkbalk biedt realtime SEO-analyseinformatie direct in uw winkel."
"Enable toolbar","Werkbalk inschakelen"
"When enabled, the SEO toolbar will be displayed according to the IP restrictions below. Disable to completely turn off the toolbar functionality.","Indien ingeschakeld wordt de SEO-werkbalk weergegeven volgens de onderstaande IP-beperkingen. Uitschakelen om de werkbalkfunctionaliteit volledig uit te zetten."
"Show toolbar only for IPs","Werkbalk alleen weergeven voor IP-adressen"
"For security, enter comma-separated IP addresses that are allowed to see the toolbar. Leave empty to show the toolbar for all IPs. Example: 192.168.1.1,10.0.0.1","Voer voor de beveiliging kommagescheiden IP-adressen in die de werkbalk mogen zien. Leeg laten om de werkbalk voor alle IP-adressen te tonen. Voorbeeld: 192.168.1.1,10.0.0.1"
"Disable toolbar for links","Werkbalk uitschakelen voor links"
"Specify links (one per line) where the toolbar should be disabled (e.g., /customer/login or /checkout).","Geef links op (één per regel) waar de werkbalk moet worden uitgeschakeld (bijv. /customer/login of /checkout)."
