"A canonical tag is set for this page.","Dla tej strony jest ustawiony znacznik kanoniczny."
"No canonical tag is set for this page.","Dla tej strony nie jest ustawiony znacznik kanoniczny."
"There is no H1 tag on the page.","Na stronie nie ma znacznika H1."
"One H1 tag — optimal.","Jeden znacznik H1 — optymalnie."
"Multiple H1 tags found. Try to use only one H1 tag.","Znaleziono wiele znaczników H1. Spróbuj używać tylko jednego znacznika H1."
"<%1>: %2","<%1>: %2"
"%1 image(s) without ALT tag","%1 obraz(y) bez znacznika ALT"
"%1 images with correct alt attribute.","%1 obrazów z prawidłowym atrybutem alt."
"%1 characters — not good. Try to enlarge it to 160 characters.","%1 znaków — niedobrze. Spróbuj zwiększyć do 160 znaków."
"%1 characters — not good. Try to minimize it to 300 characters.","%1 znaków — niedobrze. Spróbuj zmniejszyć do 300 znaków."
"%1 characters — optimal.","%1 znaków — optymalnie."
"%1 characters, %2 words.","%1 znaków, %2 słów."
"Is not set","Nie jest ustawiony"
"No cross-links detected","Nie wykryto linków krzyżowych"
"Cross-links successfully applied","Linki krzyżowe zostały pomyślnie zastosowane"
"%1 characters — not good. Try to enlarge it to 10 characters.","%1 znaków — niedobrze. Spróbuj zwiększyć do 10 znaków."
"%1 characters — not good. Try to minimize it to 70 characters.","%1 znaków — niedobrze. Spróbuj zmniejszyć do 70 znaków."
"Page analysis","Analiza strony"
"Close SEO Toolbar","Zamknij pasek narzędzi SEO"
"SEO toolbar settings","Ustawienia paska narzędzi SEO"
"Configure the SEO toolbar's visibility and access restrictions. The toolbar provides real-time SEO analysis information directly in your storefront.","Skonfiguruj widoczność i ograniczenia dostępu paska narzędzi SEO. Pasek narzędzi dostarcza informacji o analizie SEO w czasie rzeczywistym bezpośrednio w witrynie sklepu."
"Enable toolbar","Włącz pasek narzędzi"
"When enabled, the SEO toolbar will be displayed according to the IP restrictions below. Disable to completely turn off the toolbar functionality.","Po włączeniu pasek narzędzi SEO będzie wyświetlany zgodnie z poniższymi ograniczeniami IP. Wyłącz, aby całkowicie wyłączyć funkcjonalność paska narzędzi."
"Show toolbar only for IPs","Pokaż pasek narzędzi tylko dla adresów IP"
"For security, enter comma-separated IP addresses that are allowed to see the toolbar. Leave empty to show the toolbar for all IPs. Example: 192.168.1.1,10.0.0.1","Ze względów bezpieczeństwa wprowadź oddzielone przecinkami adresy IP, które mają prawo widzieć pasek narzędzi. Pozostaw puste, aby wyświetlać pasek narzędzi dla wszystkich adresów IP. Przykład: 192.168.1.1,10.0.0.1"
"Disable toolbar for links","Wyłącz pasek narzędzi dla linków"
"Specify links (one per line) where the toolbar should be disabled (e.g., /customer/login or /checkout).","Określ linki (jeden na linię), dla których pasek narzędzi ma być wyłączony (np. /customer/login lub /checkout)."
