"A canonical tag is set for this page.","Uma tag canonical está definida para esta página."
"No canonical tag is set for this page.","Nenhuma tag canonical está definida para esta página."
"There is no H1 tag on the page.","Não há tag H1 na página."
"One H1 tag — optimal.","Uma tag H1 — ideal."
"Multiple H1 tags found. Try to use only one H1 tag.","Múltiplas tags H1 encontradas. Tente usar apenas uma tag H1."
"<%1>: %2","<%1>: %2"
"%1 image(s) without ALT tag","%1 imagem(ns) sem tag ALT"
"%1 images with correct alt attribute.","%1 imagens com atributo alt correto."
"%1 characters — not good. Try to enlarge it to 160 characters.","%1 caracteres — não é bom. Tente aumentar para 160 caracteres."
"%1 characters — not good. Try to minimize it to 300 characters.","%1 caracteres — não é bom. Tente reduzir para 300 caracteres."
"%1 characters — optimal.","%1 caracteres — ideal."
"%1 characters, %2 words.","%1 caracteres, %2 palavras."
"Is not set","Não está definido"
"No cross-links detected","Nenhum link cruzado detectado"
"Cross-links successfully applied","Links cruzados aplicados com sucesso"
"%1 characters — not good. Try to enlarge it to 10 characters.","%1 caracteres — não é bom. Tente aumentar para 10 caracteres."
"%1 characters — not good. Try to minimize it to 70 characters.","%1 caracteres — não é bom. Tente reduzir para 70 caracteres."
"Page analysis","Análise de página"
"Close SEO Toolbar","Fechar barra de ferramentas SEO"
"SEO toolbar settings","Configurações da barra de ferramentas SEO"
"Configure the SEO toolbar's visibility and access restrictions. The toolbar provides real-time SEO analysis information directly in your storefront.","Configure a visibilidade e as restrições de acesso da barra de ferramentas SEO. A barra de ferramentas fornece informações de análise SEO em tempo real diretamente na sua loja."
"Enable toolbar","Ativar barra de ferramentas"
"When enabled, the SEO toolbar will be displayed according to the IP restrictions below. Disable to completely turn off the toolbar functionality.","Quando ativada, a barra de ferramentas SEO será exibida de acordo com as restrições de IP abaixo. Desative para desligar completamente a funcionalidade da barra de ferramentas."
"Show toolbar only for IPs","Mostrar barra de ferramentas apenas para IPs"
"For security, enter comma-separated IP addresses that are allowed to see the toolbar. Leave empty to show the toolbar for all IPs. Example: 192.168.1.1,10.0.0.1","Por segurança, insira os endereços IP separados por vírgula que podem ver a barra de ferramentas. Deixe vazio para mostrar a barra de ferramentas para todos os IPs. Exemplo: 192.168.1.1,10.0.0.1"
"Disable toolbar for links","Desativar barra de ferramentas para links"
"Specify links (one per line) where the toolbar should be disabled (e.g., /customer/login or /checkout).","Especifique os links (um por linha) onde a barra de ferramentas deve ser desativada (por exemplo, /customer/login ou /checkout)."
