"A canonical tag is set for this page.","En kanonisk tagg är inställd för den här sidan."
"No canonical tag is set for this page.","Ingen kanonisk tagg är inställd för den här sidan."
"There is no H1 tag on the page.","Det finns ingen H1-tagg på sidan."
"One H1 tag — optimal.","En H1-tagg — optimalt."
"Multiple H1 tags found. Try to use only one H1 tag.","Flera H1-taggar hittades. Försök att bara använda en H1-tagg."
"<%1>: %2","<%1>: %2"
"%1 image(s) without ALT tag","%1 bild(er) utan ALT-tagg"
"%1 images with correct alt attribute.","%1 bilder med korrekt alt-attribut."
"%1 characters — not good. Try to enlarge it to 160 characters.","%1 tecken — inte bra. Försök att utöka till 160 tecken."
"%1 characters — not good. Try to minimize it to 300 characters.","%1 tecken — inte bra. Försök att minimera till 300 tecken."
"%1 characters — optimal.","%1 tecken — optimalt."
"%1 characters, %2 words.","%1 tecken, %2 ord."
"Is not set","Är inte inställt"
"No cross-links detected","Inga korslänkar hittades"
"Cross-links successfully applied","Korslänkar tillämpades"
"%1 characters — not good. Try to enlarge it to 10 characters.","%1 tecken — inte bra. Försök att utöka till 10 tecken."
"%1 characters — not good. Try to minimize it to 70 characters.","%1 tecken — inte bra. Försök att minimera till 70 tecken."
"Page analysis","Sidanalys"
"Close SEO Toolbar","Stäng SEO-verktygsfält"
"SEO toolbar settings","Inställningar för SEO-verktygsfält"
"Configure the SEO toolbar's visibility and access restrictions. The toolbar provides real-time SEO analysis information directly in your storefront.","Konfigurera SEO-verktygsfältets synlighet och åtkomstbegränsningar. Verktygsfältet ger SEO-analysinformation i realtid direkt i din butik."
"Enable toolbar","Aktivera verktygsfält"
"When enabled, the SEO toolbar will be displayed according to the IP restrictions below. Disable to completely turn off the toolbar functionality.","När aktiverat visas SEO-verktygsfältet enligt IP-begränsningarna nedan. Inaktivera för att helt stänga av verktygsfältets funktionalitet."
"Show toolbar only for IPs","Visa verktygsfält endast för IP-adresser"
"For security, enter comma-separated IP addresses that are allowed to see the toolbar. Leave empty to show the toolbar for all IPs. Example: 192.168.1.1,10.0.0.1","Av säkerhetsskäl, ange kommaseparerade IP-adresser som har tillstånd att se verktygsfältet. Lämna tomt för att visa verktygsfältet för alla IP-adresser. Exempel: 192.168.1.1,10.0.0.1"
"Disable toolbar for links","Inaktivera verktygsfält för länkar"
"Specify links (one per line) where the toolbar should be disabled (e.g., /customer/login or /checkout).","Ange länkar (en per rad) där verktygsfältet ska inaktiveras (t.ex. /customer/login eller /checkout)."
