"A canonical tag is set for this page.","此页面已设置canonical标签。"
"No canonical tag is set for this page.","此页面未设置canonical标签。"
"There is no H1 tag on the page.","页面上没有H1标签。"
"One H1 tag — optimal.","1个H1标签 — 最佳。"
"Multiple H1 tags found. Try to use only one H1 tag.","发现多个H1标签。请尝试只使用一个H1标签。"
"<%1>: %2","<%1>: %2"
"%1 image(s) without ALT tag","%1 张图片没有ALT标签"
"%1 images with correct alt attribute.","%1 张图片具有正确的alt属性。"
"%1 characters — not good. Try to enlarge it to 160 characters.","%1 个字符 — 不够好。请尝试增加到160个字符。"
"%1 characters — not good. Try to minimize it to 300 characters.","%1 个字符 — 不够好。请尝试减少到300个字符以内。"
"%1 characters — optimal.","%1 个字符 — 最佳。"
"%1 characters, %2 words.","%1 个字符，%2 个词。"
"Is not set","未设置"
"No cross-links detected","未检测到交叉链接"
"Cross-links successfully applied","交叉链接已成功应用"
"%1 characters — not good. Try to enlarge it to 10 characters.","%1 个字符 — 不够好。请尝试增加到10个字符。"
"%1 characters — not good. Try to minimize it to 70 characters.","%1 个字符 — 不够好。请尝试减少到70个字符以内。"
"Page analysis","页面分析"
"Close SEO Toolbar","关闭SEO工具栏"
"SEO toolbar settings","SEO工具栏设置"
"Configure the SEO toolbar's visibility and access restrictions. The toolbar provides real-time SEO analysis information directly in your storefront.","配置SEO工具栏的可见性和访问限制。工具栏直接在您的店面提供实时SEO分析信息。"
"Enable toolbar","启用工具栏"
"When enabled, the SEO toolbar will be displayed according to the IP restrictions below. Disable to completely turn off the toolbar functionality.","启用后，SEO工具栏将根据下方的IP限制显示。禁用则完全关闭工具栏功能。"
"Show toolbar only for IPs","仅为指定IP显示工具栏"
"For security, enter comma-separated IP addresses that are allowed to see the toolbar. Leave empty to show the toolbar for all IPs. Example: 192.168.1.1,10.0.0.1","出于安全考虑，输入允许查看工具栏的IP地址（以逗号分隔）。留空则对所有IP显示工具栏。示例：192.168.1.1,10.0.0.1"
"Disable toolbar for links","为特定链接禁用工具栏"
"Specify links (one per line) where the toolbar should be disabled (e.g., /customer/login or /checkout).","指定需要禁用工具栏的链接（每行一个），例如 /customer/login 或 /checkout。"
