"Back To Grid","Back To Grid"
Delete,Delete
"Are you sure you want to delete this city?","Are you sure you want to delete this city?"
Save,Save
"Are you sure you want to delete this Region?","Are you sure you want to delete this Region?"
"Could not find City with id: `%id`","Could not find City with id: `%id`"
"Could not delete City. Original message: {message}","Could not delete City. Original message: {message}"
"Could not delete City.","Could not delete City."
"Could not save City. Original message: {message}","Could not save City. Original message: {message}"
"Could not save City.","Could not save City."
"Default Name already existed","Default Name already existed"
"Could not save CityName.","Could not save CityName."
"Could not find Region with id: `%id`","Could not find Region with id: `%id`"
"Could not delete Region with id: `%id`","Could not delete Region with id: `%id`"
"Could not delete Region. Original message: {message}","Could not delete Region. Original message: {message}"
"Could not delete Region.","Could not delete Region."
"Could not save Region. Original message: {message}","Could not save Region. Original message: {message}"
"Could not save Region.","Could not save Region."
"Default Name already existed.","Default Name already existed."
"Code already existed.","Code already existed."
"The Locale is incorrect.","The Locale is incorrect."
"Cannot edit Default Region","Cannot edit Default Region"
"Could not save RegionName.","Could not save RegionName."
"You have successfully deleted City entity","You have successfully deleted City entity"
"Edit City","Edit City"
"Manage Cities","Manage Cities"
"City List","City List"
"New City","New City"
"The City data was saved successfully","The City data was saved successfully"
Countries,Countries
"Edit Region","Edit Region"
States/Provinces,States/Provinces
"New Region","New Region"
"The Region data was saved successfully","The Region data was saved successfully"
"The country_id cannot be empty.","The country_id cannot be empty."
"File: Some Column Not Found","File: Some Column Not Found"
"Duration should be greater than 0.","Duration should be greater than 0."
"Missing required column ""%column""","Missing required column ""%column"""
"Missing required value of column ""%column""","Missing required value of column ""%column"""
"The ""%1"" country is incorrect. Verify the country and try again.","The ""%1"" country is incorrect. Verify the country and try again."
"The ""%1"" locale is incorrect. Verify the locale and try again.","The ""%1"" locale is incorrect. Verify the locale and try again."
"Row Validator must implement %interface.","Row Validator must implement %interface."
View,View
Edit,Edit
"Delete %1","Delete %1"
"Are you sure you want to delete a %1 record?","Are you sure you want to delete a %1 record?"
Information,Information
"Default Name","Default Name"
Name,Name
locale,locale
"Iso2 Code","Iso2 Code"
"Iso3 Code","Iso3 Code"
en_US,en_US
Code,Code
Back,Back
"* Required Fields","* Required Fields"
"Contact Information","Contact Information"
Address,Address
"Street Address: Line %1","Street Address: Line %1"
"Street Address %1","Street Address %1"
"It's a default billing address.","It's a default billing address."
"Use as my default billing address","Use as my default billing address"
"It's a default shipping address.","It's a default shipping address."
"Use as my default shipping address","Use as my default shipping address"
"Save Address","Save Address"
"Go back","Go back"
"Select a city","Select a city"
"No cities available","No cities available"
"Select a region","Select a region"
"Address Dropdown","Address Dropdown"
"General Configuration","General Configuration"
Enable,Enable
"City Form","City Form"
General,General
"Entity ID","Entity ID"
"Region Id","Region Id"
"Local Name","Local Name"
"Add Record","Add Record"
Locale,Locale
"-- Please Select --","-- Please Select --"
"Add New","Add New"
ID,ID
"Country ID","Country ID"
"ISO2 Code","ISO2 Code"
"ISO3 Code","ISO3 Code"
"Are you sure you want to delete this address?","Are you sure you want to delete this address?"
"Update Address","Update Address"
"Default Billing Address","Default Billing Address"
"Default Shipping Address","Default Shipping Address"
"Name Prefix","Name Prefix"
"First Name","First Name"
"Last Name","Last Name"
"Name Suffix","Name Suffix"
"Middle Name/Initial","Middle Name/Initial"
Company,Company
Area,Area
"Zip/Postal Code","Zip/Postal Code"
"Phone Number","Phone Number"
"VAT Number","VAT Number"
"Are you sure you want to delete selected address?","Are you sure you want to delete selected address?"
"Delete items","Delete items"
Country,Country
Phone,Phone
"Region Form","Region Form"
"Country Id","Country Id"
"Code Region","Code Region"
"Region ID","Region ID"
"City Id","City Id"
"Address Profiles","Address Profiles"
"Country to Profile Mapping","Country to Profile Mapping"
"Schema-driven (Address Profile cascade)","Schema-driven (Address Profile cascade)"
"Address Renderer","Address Renderer"
