"Back To Grid",Quay lại lưới
Delete,Delete
"Are you sure you want to delete this entity?","Bạn có chắc chắn muốn xóa thực thể này không?"
Save,Save
"Refresh Token","Làm mới mã đăng nhập"
"Could not save ConnectionLog.","Không thể lưu Nhật ký kết nối."
"You have successfully deleted all log entities","Bạn đã xóa thành công tất cả thực thể nhật ký"
"Something went wrong.","Something went wrong."
"ConnectionLog List","ConnectionLog List"
"Connection Log View","Connection Log View"
"Add new status","Thêm trạng thái mới"
"Delete successful","Xóa thành công"
"Edit Grid","Chỉnh sửa lưới"
"Manage Grid","Quản lý lưới"
"Init Data successful","Khởi tạo dữ liệu thành công"
"Something went wrong while init.","Something went wrong while init."
"Save successful","Lưu thành công"
"Something went wrong while save.","Something went wrong while save."
"Update Success.","Cập nhật thành công."
"Update Fails","Cập nhật thất bại"
"Sorry, but we can't deliver to the destination country with this shipping module.","Xin lỗi, nhưng chúng tôi không thể giao hàng đến quốc gia đích bằng vận chuyển này."
"This service does not support delivery to the above areas. Please use another service or choose another delivery address","Dịch vụ này không hỗ trợ giao hàng đến các khu vực trên. Vui lòng sử dụng dịch vụ khác hoặc chọn địa chỉ giao hàng khác"
"Monday","Thứ Hai"
"Tuesday","Thứ Ba"
"Wednesday","Thứ Tư"
"Thursday","Thứ Năm"
"Friday","Thứ Sáu"
"Saturday","Thứ Bảy"
"Sunday","Chủ Nhật"
"---Please select---","---Xin hãy chọn---"
"Status :","Status :"
"Comment :","Comment :"
"Link Share url :","Link Share url :"
"Manage Shipping Status","Manage Shipping Status"
"Ahamove Connection Log","Nhật ký Kết nối Ahamove"
"Staging Mode","Staging Mode"
"Token","Token"
"Token Refresh","Khởi tạo và làm mới Token"
"URL Sandbox","URL Sandbox"
"URL Production","URL Production"
"Api Key","Api Key"
"Phone Number","Số điện thoại"
"Payment Type","Loại Thanh Toán"
"Payment Shipping COD","Payment Shipping COD"
"Service Shipping","Service Shipping"
"Send Email Shipment","Send Email Shipment"
"Settings shipping Method","Settings shipping Method"
"Method Name","Method Name"
"Displayed Error Message","Displayed Error Message"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Sort Order","Sort Order"
"Operation Day","Operation Day"
"Hours of Operation From","Hours of Operation From"
"Hours of Operation To","Hours of Operation To"
"Maximum Weight","Maximum Weight"
"Enter weight in grams","Enter weight in grams"
"Maximum Length","Maximum Length"
"Enter width in centimeters","Enter width in centimeters"
"Maximum Width","Maximum Width"
"Maximum Height","Maximum Height"
"Siêu rẻ","Siêu rẻ"
"Description","Description"
"Order State","Order State"
"Order Status","Order Status"
"Clear All Log","Clear All Log"
"Action Name","Action Name"
"Order ID","Order ID"
"Order Increment Id","Order Increment Id"
"Order Ahamove Id","Order Ahamove Id"
"Created At","Ngày Tạo"
"Init Data","Khởi Tạo Trạng Thái"
"Add New","Thêm Mới"
"Status code","Mã Trạng Thái"
"Status Mapping","Trạng Thái Nối"
"RETURNED","Đã Trả hàng"
"IN_RETURN","Đang trên đường trả hàng"
"IDLE","Đơn đang được chờ"
"ASSIGNING","Đang gán"
"ACCEPTED","Chấp nhận"
"IN PROCESS","Đang Giao"
"COMPLETED","Đơn hoàn thành"
"CANCELLED","Hủy"
"Scheduled order confirmed","Đã xác nhận đơn hàng theo lịch trình"
"Finding a supplier","Đang tìm tài xế"
"Once supplier accepts the order","Tài xế đã chấp nhận"
"The supplier collects the package at the pickup location","Tài xế đã lấy hàng"
"The supplier completes the order","Giao hàng thành công"
"When an order is canceled for any reason","Đơn bị hủy"
"In return the package","Đang trả hàng"
"Return the package","Đã Trả Hàng"
"When an order is canceled for any reason","Đơn hàng bị hủy"
"Wrong location","Sai vị trí"
"Description","Mô tả"
"Local Time","Giờ địa phương",
"Date","Ngày"
"Location","Vị trí"
"Tracking Number","Số theo dõi"
"TRACKING INFORMATION","THEO DÕI THÔNG TIN"
"Track:","Link theo dõi:"
"Close Window","Đóng"
