"AI Commerce Read Layer","AI Commerce Read Layer"
"Secomm","Secomm"
"General","General"
"Enable AI Read Endpoints (/ai/...)","Enable AI Read Endpoints (/ai/...)"
"When disabled, all /ai/* endpoints return 404. Read-only GET/HEAD endpoints for AI agents; no cart, checkout, customer or order data.","When disabled, all /ai/* endpoints return 404. Read-only GET/HEAD endpoints for AI agents; no cart, checkout, customer or order data."
"Maximum Page Size","Maximum Page Size"
"Server-side cap for the page_size parameter of /ai/catalog/search (1-50).","Server-side cap for the page_size parameter of /ai/catalog/search (1-50)."
"Filterable Attribute Allowlist","Filterable Attribute Allowlist"
"Attribute codes (comma-separated) that agents may filter by. The attribute must also be storefront filterable; everything else is rejected.","Attribute codes (comma-separated) that agents may filter by. The attribute must also be storefront filterable; everything else is rejected."
"Category Tree Depth","Category Tree Depth"
"Maximum depth of /ai/categories output below the store root (1-10).","Maximum depth of /ai/categories output below the store root (1-10)."
"Cache","Cache"
"Cache Lifetime (seconds)","Cache Lifetime (seconds)"
"0 = cache disabled, regenerate every request.","0 = cache disabled, regenerate every request."
"Secomm AI Commerce Read Layer","Secomm AI Commerce Read Layer"
"Invalid store code.","Invalid store code."
"Invalid request parameters.","Invalid request parameters."
"Resource not found.","Resource not found."
"Method not allowed.","Method not allowed."
"Search is temporarily unavailable.","Search is temporarily unavailable."
"Internal error.","Internal error."
