"AI Discoverability (llms.txt)","AI Discoverability (llms.txt)"
"General","General"
"Enable /llms.txt","Enable /llms.txt"
"When disabled, /llms.txt returns 404 and the describedby link tag is removed.","When disabled, /llms.txt returns 404 and the describedby link tag is removed."
"Site / Brand Title","Site / Brand Title"
"Public title used as the llms.txt H1. Falls back to the store information name, then to the internal store view name.","Public title used as the llms.txt H1. Falls back to the store information name, then to the internal store view name."
"Brand / Site Summary","Brand / Site Summary"
"One concise line describing the brand and site for AI agents. Rendered exactly once under the Store Summary section of llms.txt. When empty, the Store Summary section is omitted (no fallback). The internal store view name is never used.","One concise line describing the brand and site for AI agents. Rendered exactly once under the Store Summary section of llms.txt. When empty, the Store Summary section is omitted (no fallback). The internal store view name is never used."
"Priority Paths","Priority Paths"
"Internal paths only, one per line (e.g. ""about-us""). External URLs, query strings and private routes (cart/checkout/account/...) are rejected.","Internal paths only, one per line (e.g. ""about-us""). External URLs, query strings and private routes (cart/checkout/account/...) are rejected."
"Curated URLs","Curated URLs"
"CMS Pages","CMS Pages"
"Only active pages visible in the selected scope are emitted (max 20).","Only active pages visible in the selected scope are emitted (max 20)."
"Categories / Collections","Categories / Collections"
"Only active categories of the store's tree are emitted (max 20).","Only active categories of the store's tree are emitted (max 20)."
"Include Sitemap References","Include Sitemap References"
"Cache","Cache"
"Cache Lifetime (seconds)","Cache Lifetime (seconds)"
"0 = cache disabled, regenerate every request.","0 = cache disabled, regenerate every request."
"Maximum URLs","Maximum URLs"
"Secomm AI Discoverability Configuration","Secomm AI Discoverability Configuration"
"Secomm AI Discoverability Preview","Secomm AI Discoverability Preview"
