"Fulfillment progress","Fulfillment progress"
"Confirmed","Confirmed"
"Packing","Packing"
"Waiting for pickup","Waiting for pickup"
"Shipped","Shipped"
"Delivered","Delivered"
"Returning","Returning"
"Returned","Returned"
"Cancelled","Cancelled"
"Carrier","Carrier"
"Tracking","Tracking"
"Fulfillment status is now %1.","Fulfillment status is now %1."
"Carrier: %1","Carrier: %1"
"Tracking: %1","Tracking: %1"
"Enable outbound order export","Enable outbound order export"
"Master switch for every OMS adapter (Pancake POS and later adapters). When No, the place-order observer and the 10-minute retry cron do not push any order. Each adapter still has its own enable flag. Default: Yes. No external data is required.","Master switch for every OMS adapter (Pancake POS and later adapters). When No, the place-order observer and the 10-minute retry cron do not push any order. Each adapter still has its own enable flag. Default: Yes. No external data is required."
"Max export attempts","Max export attempts"
"How many times Magento retries a failed outbound push. Source: local config only (not read from Pancake). Cron secomm_fulfillmentcore_retry_failed_export runs every 10 minutes and retries rows in secomm_fulfillment_export with push_status pending or failed until this count. Default: 5. After the limit, fix the adapter error (for example warehouse_unmapped) then the row is not retried automatically.","How many times Magento retries a failed outbound push. Source: local config only (not read from Pancake). Cron secomm_fulfillmentcore_retry_failed_export runs every 10 minutes and retries rows in secomm_fulfillment_export with push_status pending or failed until this count. Default: 5. After the limit, fix the adapter error (for example warehouse_unmapped) then the row is not retried automatically."
