scheme_code,level,provider_key,provider_id,provider_code,parent_provider_key,name,extension_names,status
GHN_ADMIN_2025,1,1000000,1000000,,,"Hà Nội","[""hà nội"",""tp.hà nội"",""tp. hà nội"",""tp hà nội"",""thành phố hà nội"",""hanoi"",""hn"",""ha noi""]",ACTIVE
GHN_ADMIN_2025,1,1000001,1000001,,,"Hồ Chí Minh","[""hồ chí minh"",""tp.hồ chí minh"",""tp. hồ chí minh"",""tp hồ chí minh"",""thành phố hồ chí minh"",""hcm"",""hcm"",""hcm"",""ho chi minh"",""thanh pho ho chi minh""]",ACTIVE
GHN_ADMIN_2025,1,1000002,1000002,,,Huế,"[""thừa thiên huế"",""thừa thiên - huế"",""tỉnh thừa thiên - huế"",""t.thừa thiên - huế"",""t thừa thiên - huế"",""hue"",""thuathienhue"",""tỉnh thừa thiên huế"",""thanh pho hue"",""thành phố huế"",""tp huế""]",ACTIVE
GHN_ADMIN_2025,1,1000003,1000003,,,"Đà Nẵng","[""đà nẵng"",""tp.đà nẵng"",""tp. đà nẵng"",""tp đà nẵng"",""thành phố đà nẵng"",""da nang"",""thanh pho da nang""]",ACTIVE
GHN_ADMIN_2025,1,1000004,1000004,,,"Hải Phòng","[""hải phòng"",""tp.hải phòng"",""tp. hải phòng"",""tp hải phòng"",""thành phố hải phòng"",""hai phong"",""thanh pho hai phong""]",ACTIVE
GHN_ADMIN_2025,1,1000005,1000005,,,"Cần Thơ","[""cần thơ"",""tp.cần thơ"",""tp. cần thơ"",""tp cần thơ"",""thành phố cần thơ"",""can tho"",""thanh pho can tho""]",ACTIVE
GHN_ADMIN_2025,1,1000006,1000006,,,"Đồng Nai","[""đồng nai"",""tỉnh đồng nai"",""t.đồng nai"",""t đồng nai"",""dong nai"",""tinh dong nai""]",ACTIVE
GHN_ADMIN_2025,1,1000007,1000007,,,"Gia Lai","[""gia lai"",""tỉnh gia lai"",""t.gia lai"",""t gia lai"",""tinh gia lai""]",ACTIVE
GHN_ADMIN_2025,1,1000008,1000008,,,"Khánh Hòa","[""khánh hòa"",""tỉnh khánh hòa"",""t.khánh hòa"",""t khánh hòa"",""khanh hoa"",""tinh khanh hoa""]",ACTIVE
GHN_ADMIN_2025,1,1000009,1000009,,,"Lâm Đồng","[""lâm đồng"",""tỉnh lâm đồng"",""t.lâm đồng"",""t lâm đồng"",""lam dong"",""tinh lam dong""]",ACTIVE
GHN_ADMIN_2025,1,1000010,1000010,,,"Đắk Lắk","[""đắk lắk"",""tỉnh đắk lắk"",""t.đắk lắk"",""t đắk lắk"",""dak lak"",""tinh dak lak"",""daklak"",""daklak"",""tinh daklak"",""tinh daklak""]",ACTIVE
GHN_ADMIN_2025,1,1000011,1000011,,,"Vĩnh Long","[""vĩnh long"",""tỉnh vĩnh long"",""t.vĩnh long"",""t vĩnh long"",""vinh long"",""tinh vinh long""]",ACTIVE
GHN_ADMIN_2025,1,1000012,1000012,,,"Đồng Tháp","[""đồng tháp"",""tỉnh đồng tháp"",""t.đồng tháp"",""t đồng tháp"",""dong thap"",""tinh dong thap""]",ACTIVE
GHN_ADMIN_2025,1,1000013,1000013,,,"An Giang","[""an giang"",""tỉnh an giang"",""t.an giang"",""t an giang"",""tinh an giang""]",ACTIVE
GHN_ADMIN_2025,1,1000014,1000014,,,"Tuyên Quang","[""tuyên quang"",""tỉnh tuyên quang"",""t.tuyên quang"",""t tuyên quang"",""tuyen quang"",""tinh tuyen quang""]",ACTIVE
GHN_ADMIN_2025,1,1000015,1000015,,,"Phú Thọ","[""phú thọ"",""tỉnh phú thọ"",""t.phú thọ"",""t phú thọ"",""phu tho"",""tinh phu tho""]",ACTIVE
