"Created","Created"
"Picking up","Picking up"
"Picked up","Picked up"
"In transit","In transit"
"Out for delivery","Out for delivery"
"Delivered","Delivered"
"Delivery failed","Delivery failed"
"Lost","Lost"
"Damaged","Damaged"
"Returning to sender","Returning to sender"
"Returned to sender","Returned to sender"
"Cancelled","Cancelled"
"Unknown","Unknown"
"%1 (GHN status: %2)","%1 (GHN status: %2)"
"%1 (GHN: %2)","%1 (GHN: %2)"
"GHN Carrier Actions","GHN Carrier Actions"
"Cancellation reason","Cancellation reason"
"Pickup is overdue","Pickup is overdue"
"Out of stock","Out of stock"
"Customer cancelled the order","Customer cancelled the order"
"Other reason","Other reason"
"Optional detail (e.g. for Other reason)","Optional detail (e.g. for Other reason)"
"Cancel GHN Shipment","Cancel GHN Shipment"
"Request GHN Return","Request GHN Return"
"Cancel this shipment at GHN? This asks the provider to cancel the delivery order.","Cancel this shipment at GHN? This asks the provider to cancel the delivery order."
"Request GHN Return? This asks the carrier to return the goods to you (not a customer RMA).","Request GHN Return? This asks the carrier to return the goods to you (not a customer RMA)."
"Invalid request method.","Invalid request method."
"Invalid shipment id.","Invalid shipment id."
"Shipment %1 not found.","Shipment %1 not found."
"GHN shipment cancellation accepted. Order %1.","GHN shipment cancellation accepted. Order %1."
"GHN rejected the %1: %2","GHN rejected the %1: %2"
"cancellation","cancellation"
"return request","return request"
"GHN is temporarily unavailable. No automatic retry was performed.","GHN is temporarily unavailable. No automatic retry was performed."
"The request may have been processed by GHN. Please refresh/reconcile the tracking status before retrying.","The request may have been processed by GHN. Please refresh/reconcile the tracking status before retrying."
"GHN return request accepted. Order %1.","GHN return request accepted. Order %1."
