"GHTK Address Mapping","GHTK Address Mapping"
"GHTK Address Mapping — CSV Import (Replace All)","GHTK Address Mapping — CSV Import (Replace All)"
"No file was uploaded.","No file was uploaded."
"File upload failed (error code %1).","File upload failed (error code %1)."
"File is too large. Maximum size is 5 MB.","File is too large. Maximum size is 5 MB."
"Invalid file type. Only .csv files are allowed.","Invalid file type. Only .csv files are allowed."
"Import aborted with %1 error(s). No changes were made.","Import aborted with %1 error(s). No changes were made."
"Import did not complete. No changes were made.","Import did not complete. No changes were made."
"Mapping replaced: %1 inserted, %2 updated, %3 removed, %4 skipped.","Mapping replaced: %1 inserted, %2 updated, %3 removed, %4 skipped."
"CSV File","CSV File"
"Header: %1","Header: %1"
"Replace Mapping","Replace Mapping"
"Download sample CSV","Download sample CSV"
"GHTK","GHTK"
"Address Mapping","Address Mapping"
"Manage Address Mapping","Manage Address Mapping"
"GHTK Configuration","GHTK Configuration"
"Line %1: country_id must be a 2-letter code.","Line %1: country_id must be a 2-letter code."
"Line %1: region_id must be a positive integer.","Line %1: region_id must be a positive integer."
"Line %1: ward_id must be a positive integer.","Line %1: ward_id must be a positive integer."
"Line %1: ghtk_province is required.","Line %1: ghtk_province is required."
"Line %1: ghtk_ward is required.","Line %1: ghtk_ward is required."
"Line %1: is_active must be 0 or 1.","Line %1: is_active must be 0 or 1."
"The uploaded GHTK mapping file is missing or unreadable.","The uploaded GHTK mapping file is missing or unreadable."
"The uploaded GHTK mapping file is empty.","The uploaded GHTK mapping file is empty."
"The uploaded GHTK mapping file has no header row.","The uploaded GHTK mapping file has no header row."
"Invalid CSV header. Expected: %1","Invalid CSV header. Expected: %1"
"Import failed and was rolled back: %1","Import failed and was rolled back: %1"
"GHTK address map with id ""%1"" not found.","GHTK address map with id ""%1"" not found."
"GHTK Express","GHTK Express"
"Pickup configuration is invalid: set a Pickup Address ID, or Province + Ward, or configure the Magento Shipping Origin.","Pickup configuration is invalid: set a Pickup Address ID, or Province + Ward, or configure the Magento Shipping Origin."
"GHTK connection OK — fee request succeeded with the current credentials and pickup config.","GHTK connection OK — fee request succeeded with the current credentials and pickup config."
"GHTK connection failed: %1","GHTK connection failed: %1"
"Road","Road"
"Fly","Fly"
"Kilogram (kg)","Kilogram (kg)"
"Gram (g)","Gram (g)"
"Insurance Fee","Insurance Fee"
"Extended Fees (surcharge)","Extended Fees (surcharge)"
"Pickup Address ID (GHTK-registered — skips pickup mapping)","Pickup Address ID (GHTK-registered — skips pickup mapping)"
"Pickup Province (legacy override — required when no Pickup Address ID)","Pickup Province (legacy override — required when no Pickup Address ID)"
"Pickup District (legacy override — optional)","Pickup District (legacy override — optional)"
"Pickup Ward (legacy override — required when no Pickup Address ID)","Pickup Ward (legacy override — required when no Pickup Address ID)"
"COD Payment Method Codes (comma-separated)","COD Payment Method Codes (comma-separated)"
"GHTK pickup origin is not usable — set carriers/ghtk/pick_* or complete the Magento Shipping Origin.","GHTK pickup origin is not usable — set carriers/ghtk/pick_* or complete the Magento Shipping Origin."
"GHTK can only ship to complete Vietnam addresses.","GHTK can only ship to complete Vietnam addresses."
"GHTK could not resolve the shipping address (province/ward).","GHTK could not resolve the shipping address (province/ward)."
"This order still has unshipped items and an outstanding COD amount of %1. Partial COD shipments are not supported yet — ship the full order in one shipment, or resolve the COD amount explicitly.","This order still has unshipped items and an outstanding COD amount of %1. Partial COD shipments are not supported yet — ship the full order in one shipment, or resolve the COD amount explicitly."
"GHTK order submission failed: %1","GHTK order submission failed: %1"
"GHTK rejected the order: %1","GHTK rejected the order: %1"
"GHTK accepted the order but returned no label/tracking — check the GHTK dashboard for partner order %1 before retrying.","GHTK accepted the order but returned no label/tracking — check the GHTK dashboard for partner order %1 before retrying."
"No packages for request.","No packages for request."
"GHTK shipping label failed: %1","GHTK shipping label failed: %1"
"The shipment contains no shippable items.","The shipment contains no shippable items."
"Tracking Webhook Secret (appended to webhook URL)","Tracking Webhook Secret (appended to webhook URL)"
"Tracking Reconciliation Cron (fallback for missed webhooks)","Tracking Reconciliation Cron (fallback for missed webhooks)"
"Reconciliation Staleness Threshold (hours)","Reconciliation Staleness Threshold (hours)"
"%1 row(s) in %2 (column %3) still reference the installed VN data. Clear that carrier mapping data first.","%1 row(s) in %2 (column %3) still reference the installed VN data. Clear that carrier mapping data first."
