"GHTK Address Mapping","Ánh xạ địa chỉ GHTK"
"GHTK Address Mapping — CSV Import (Replace All)","Ánh xạ địa chỉ GHTK — Nhập CSV (Thay toàn bộ)"
"No file was uploaded.","Không có tệp nào được tải lên."
"File upload failed (error code %1).","Tải tệp lên thất bại (mã lỗi %1)."
"File is too large. Maximum size is 5 MB.","Tệp quá lớn. Dung lượng tối đa là 5 MB."
"Invalid file type. Only .csv files are allowed.","Loại tệp không hợp lệ. Chỉ chấp nhận tệp .csv."
"Import aborted with %1 error(s). No changes were made.","Nhập liệu bị hủy với %1 lỗi. Không có thay đổi nào được thực hiện."
"Import did not complete. No changes were made.","Nhập liệu chưa hoàn tất. Không có thay đổi nào được thực hiện."
"Mapping replaced: %1 inserted, %2 updated, %3 removed, %4 skipped.","Đã thay toàn bộ ánh xạ: thêm %1, cập nhật %2, xóa %3, bỏ qua %4."
"CSV File","Tệp CSV"
"Header: %1","Tiêu đề cột: %1"
"Replace Mapping","Thay thế ánh xạ"
"Download sample CSV","Tải tệp CSV mẫu"
"GHTK","GHTK"
"Address Mapping","Ánh xạ địa chỉ"
"Manage Address Mapping","Quản lý ánh xạ địa chỉ"
"GHTK Configuration","Cấu hình GHTK"
"Line %1: country_id must be a 2-letter code.","Dòng %1: country_id phải là mã 2 chữ cái."
"Line %1: region_id must be a positive integer.","Dòng %1: region_id phải là số nguyên dương."
"Line %1: ward_id must be a positive integer.","Dòng %1: ward_id phải là số nguyên dương."
"Line %1: ghtk_province is required.","Dòng %1: ghtk_province là bắt buộc."
"Line %1: ghtk_ward is required.","Dòng %1: ghtk_ward là bắt buộc."
"Line %1: is_active must be 0 or 1.","Dòng %1: is_active phải là 0 hoặc 1."
"The uploaded GHTK mapping file is missing or unreadable.","Tệp ánh xạ GHTK tải lên bị thiếu hoặc không đọc được."
"The uploaded GHTK mapping file is empty.","Tệp ánh xạ GHTK tải lên rỗng."
"The uploaded GHTK mapping file has no header row.","Tệp ánh xạ GHTK tải lên không có dòng tiêu đề."
"Invalid CSV header. Expected: %1","Tiêu đề CSV không hợp lệ. Mong đợi: %1"
"Import failed and was rolled back: %1","Nhập liệu thất bại và đã hoàn tác: %1"
"GHTK address map with id ""%1"" not found.","Không tìm thấy ánh xạ địa chỉ GHTK với id ""%1""."
"GHTK Express","GHTK Express"
"Pickup configuration is invalid: set a Pickup Address ID, or Province + Ward, or configure the Magento Shipping Origin.","Cấu hình lấy hàng không hợp lệ: nhập Pickup Address ID, hoặc Province + Ward, hoặc cấu hình Magento Shipping Origin."
"GHTK connection OK — fee request succeeded with the current credentials and pickup config.","Kết nối GHTK thành công — yêu cầu phí chạy đúng với thông tin đăng nhập và cấu hình lấy hàng hiện tại."
"GHTK connection failed: %1","Kết nối GHTK thất bại: %1"
"Road","Đường bộ"
"Fly","Đường hàng không"
"Kilogram (kg)","Kilogram (kg)"
"Gram (g)","Gram (g)"
"Insurance Fee","Phí khai giá (bảo hiểm)"
"Extended Fees (surcharge)","Phí phụ thu"
"Pickup Address ID (GHTK-registered — skips pickup mapping)","Pickup Address ID (đã đăng ký GHTK — bỏ qua ánh xạ lấy hàng)"
"Pickup Province (legacy override — required when no Pickup Address ID)","Tỉnh/Thành lấy hàng (override cũ — bắt buộc khi không có Pickup Address ID)"
"Pickup District (legacy override — optional)","Quận/Huyện lấy hàng (override cũ — tùy chọn)"
"Pickup Ward (legacy override — required when no Pickup Address ID)","Phường/Xã lấy hàng (override cũ — bắt buộc khi không có Pickup Address ID)"
"COD Payment Method Codes (comma-separated)","Mã phương thức thanh toán COD (phân tách bằng dấu phẩy)"
"GHTK pickup origin is not usable — set carriers/ghtk/pick_* or complete the Magento Shipping Origin.","Điểm lấy hàng GHTK không dùng được — cấu hình carriers/ghtk/pick_* hoặc hoàn thiện Magento Shipping Origin."
"GHTK can only ship to complete Vietnam addresses.","GHTK chỉ giao đến địa chỉ Việt Nam đầy đủ."
"GHTK could not resolve the shipping address (province/ward).","GHTK không xác định được địa chỉ giao hàng (tỉnh/phường)."
"This order still has unshipped items and an outstanding COD amount of %1. Partial COD shipments are not supported yet — ship the full order in one shipment, or resolve the COD amount explicitly.","Đơn hàng còn mặt hàng chưa giao và số tiền COD còn lại là %1. Chưa hỗ trợ giao từng phần cho COD — giao toàn bộ đơn trong một lần, hoặc xác định rõ số tiền COD."
"GHTK order submission failed: %1","Gửi đơn lên GHTK thất bại: %1"
"GHTK rejected the order: %1","GHTK từ chối đơn: %1"
"GHTK accepted the order but returned no label/tracking — check the GHTK dashboard for partner order %1 before retrying.","GHTK đã nhận đơn nhưng không trả label/tracking — kiểm tra dashboard GHTK với partner order %1 trước khi thử lại."
"No packages for request.","Không có gói hàng cho yêu cầu."
"GHTK shipping label failed: %1","Tạo nhãn vận chuyển GHTK thất bại: %1"
"The shipment contains no shippable items.","Lô hàng không có mặt hàng nào có thể giao."
"Tracking Webhook Secret (appended to webhook URL)","Secret webhook tracking (nối vào URL webhook)"
"Tracking Reconciliation Cron (fallback for missed webhooks)","Cron đối soát tracking (fallback khi miss webhook)"
"Reconciliation Staleness Threshold (hours)","Ngưỡng đối soát: cũ hơn bao nhiêu giờ (giờ)"
"%1 row(s) in %2 (column %3) still reference the installed VN data. Clear that carrier mapping data first.","%1 dòng trong %2 (cột %3) vẫn tham chiếu dữ liệu VN đang cài. Hãy xoá dữ liệu mapping carrier đó trước."
