ProvinceID_GHN,ProvinceName_GHN,Code_GHN,region_id_sql
201,Hà N?i,HNI,1157
202,H? Chí Minh,SG,1185
203,H?i Phòng,HP,1160
204,Ðà N?ng,DNG,1177
205,Ð?ng Nai,DNI,1184
206,Bình Duong,BDG,1185
207,C?n Tho,CT,1189
208,Lai Châu,LCH,1170
209,Lào Cai,LCI,1165
210,Hà Giang,HGI,1164
211,Cao B?ng,CBG,1163
212,B?c K?n,BKN,1166
213,L?ng Son,LSN,1167
214,Tuyên Quang,TQG,1164
215,Yên Bái,YBI,1165
216,Thái Nguyên,TNG,1166
217,Ði?n Biên,DBI,1169
218,Son La,SLA,1171
219,Phú Th?,PTO,1168
220,Vinh Phúc,VPC,1168
221,B?c Ninh,BNH,1158
222,B?c Giang,BGG,1158
223,Qu?ng Ninh,QNH,1159
224,Hòa Bình,HBI,1168
225,H?i Duong,HDG,1160
226,Hung Yên,HYN,1161
227,Thái Bình,TBH,1161
228,Hà Nam,HNM,1162
229,Nam Ð?nh,NDH,1162
230,Ninh Bình,NBH,1162
231,Thanh Hóa,THA,1172
232,Ngh? An,NAN,1173
233,Hà Tinh,HTH,1174
234,Qu?ng Bình,QBH,1175
235,Qu?ng Tr?,QTI,1175
236,Th?a Thiên Hu?,TTH,1176
237,Qu?ng Nam,QNM,1177
238,Qu?ng Ngãi,QNI,1178
239,Kon Tum,KTM,1178
240,Gia Lai,GLI,1180
241,Bình Ð?nh,BDH,1180
242,Phú Yên,PYN,1181
243,Ð?k L?k,DLK,1181
244,Ð?k Nông,DNO,1182
245,Khánh Hòa,KHA,1179
246,Ninh Thu?n,NTN,1179
247,Bình Thu?n,BTN,1182
248,Lâm Ð?ng,LDG,1182
249,Bình Phu?c,BPC,1184
250,Tây Ninh,TNH,1183
251,Bà R?a - Vung Tàu,VT,1185
252,Long An,LAN,1183
253,Ti?n Giang,TGG,1187
254,B?n Tre,BTE,1186
255,Trà Vinh,TVH,1186
256,Vinh Long,VLG,1186
257,Ð?ng Tháp,DTP,1187
258,An Giang,AGG,1188
259,Kiên Giang,KGG,1188
260,H?u Giang,HGG,1189
261,Sóc Trang,STG,1189
262,B?c Liêu,BLU,1190
263,Cà Mau,CMU,1190
