"* Required Fields","* Required Fields"
"Address","Address"
"Advanced Settings","Advanced Settings"
"Allow checking item, but not trying","Allow checking item, but not trying"
"Allow trying item","Allow trying item"
"Api Token","Api Token"
"Async (Message Queue)","Async (Message Queue)"
"Auto Sync on Order Placement","Auto Sync on Order Placement"
"Auto Sync on Place Order","Auto Sync on Place Order"
"Auto Sync on Shipment Creation","Auto Sync on Shipment Creation"
"Automatically push order sync message to queue right after order placement","Automatically push order sync message to queue right after order placement"
"Automatically push order sync message to queue when warehouse creates shipment","Automatically push order sync message to queue when warehouse creates shipment"
"Buyer/Consignee","Buyer/Consignee"
"Can't read response from GHN","Can't read response from GHN"
"City","City"
"Comment: %1.","Comment: %1."
"Contact Information","Contact Information"
"Could not delete Track. Original message: %1","Could not delete Track. Original message: %1"
"Could not delete Track.","Could not delete Track."
"Could not find Track with id: %1","Could not find Track with id: %1"
"Could not save Track. Original message: %1","Could not save Track. Original message: %1"
"Could not save Track.","Could not save Track."
"Debug","Debug"
"Direct (Immediate)","Direct (Immediate)"
"Don't allow checking item","Don't allow checking item"
"Displayed Error Message","Displayed Error Message"
"E-commerce delivery","E-commerce delivery"
"Enable Admin Manual Sync Button","Enable Admin Manual Sync Button"
"Enabled","Enabled"
"Enter converted mass in grams","Enter converted mass in grams"
"Enter height in centimeters","Enter height in centimeters"
"Enter length in centimeters","Enter length in centimeters"
"Enter weight in grams","Enter weight in grams"
"Enter width in centimeters","Enter width in centimeters"
"Express Method","Express Method"
"Failed to queue GHN sync: %1","Failed to queue GHN sync: %1"
"Field ","Field "
"General Settings","General Settings"
"GHN","GHN"
"GHN Order Sync Failed","GHN Order Sync Failed"
"GHN Order Sync Success","GHN Order Sync Success"
"GHN Order Syncing","GHN Order Syncing"
"GHN sync has been queued for this order.","GHN sync has been queued for this order."
"Go back","Go back"
"is required.","is required."
"Is Develop Mode","Is Develop Mode"
"It's a default billing address.","It's a default billing address."
"It's a default shipping address.","It's a default shipping address."
"Maximum Converted Mass Item","Maximum Converted Mass Item"
"Maximum Converted Mass Order","Maximum Converted Mass Order"
"Maximum Height","Maximum Height"
"Maximum Height Item","Maximum Height Item"
"Maximum Length","Maximum Length"
"Maximum Length Item","Maximum Length Item"
"Maximum Weight","Maximum Weight"
"Maximum Weight Item","Maximum Weight Item"
"Maximum Width","Maximum Width"
"Maximum Width Item","Maximum Width Item"
"Method Name","Method Name"
"No district to select.","No district to select."
"No items to ship found in rates request.","No items to ship found in rates request."
"Note Code","Note Code"
"Order ID is missing.","Order ID is missing."
"Payment Shipping COD","Payment Shipping COD"
"Payment Type","Payment Type"
"Please select a district.","Please select a district."
"Please select a region, state or province.","Please select a region, state or province."
"Sandbox Mode","Sandbox Mode"
"Save Address","Save Address"
"Select Async (Message Queue) or Direct (Immediate execution during order/shipment creation)","Select Async (Message Queue) or Direct (Immediate execution during order/shipment creation)"
"Select Payment method will be used COD amount when shipping","Select Payment method will be used COD amount when shipping"
"Set token to access giaohangnhanh api.","Set token to access giaohangnhanh api."
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Shop Id","Shop Id"
"Shop/Seller","Shop/Seller"
"Show "Sync GHN" button in Admin Order View page","Show "Sync GHN" button in Admin Order View page"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Something went wrong when cancel order.","Something went wrong when cancel order."
"Something went wrong when synchronize order.","Something went wrong when synchronize order."
"Sort Order","Sort Order"
"Standard Method","Standard Method"
"Store District","Store District"
"Street Address %1","Street Address %1"
"Sync GHN","Sync GHN"
"Sync Mode","Sync Mode"
"The "%1" command doesn't exist. Verify the command and try again.","The "%1" command doesn't exist. Verify the command and try again."
"This order does not use GHN shipping.","This order does not use GHN shipping."
"This order is already synced to GHN.","This order is already synced to GHN."
"Title","Title"
"Traditional delivery","Traditional delivery"
"URL Production","URL Production"
"URL Sandbox","URL Sandbox"
"Use as my default billing address","Use as my default billing address"
"Use as my default shipping address","Use as my default shipping address"
"We can't convert base currency to %1. Please setup currency rates.","We can't convert base currency to %1. Please setup currency rates."
"We can't convert VND to store default currency. Please setup currency rates.","We can't convert VND to store default currency. Please setup currency rates."
"E-commerce delivery(Express)","E-commerce delivery (Express)"
"Traditional delivery(Standard)","Traditional delivery (Standard)"
"This shipping method is not available. To use this shipping method, please contact us.","This shipping method is not available. To use this shipping method, please contact us."
"Ready to Pick","Ready to Pick"
"Picking","Picking"
"Picked","Picked"
"Transporting","Transporting"
"Delivering","Delivering"
"Delivery Fail","Delivery Fail"
"Exception","Exception"
"Đơn hàng đã được đồng bộ trực tiếp lên GHN. Mã vận đơn: %1","Order has been directly synced to GHN. Tracking code: %1"
"Đơn hàng đã được đồng bộ lên GHN thành công.","Order has been successfully synced to GHN."
"Đồng bộ GHN thất bại: %1","GHN sync failed: %1"
