"* Required Fields","* Trường bắt buộc"
"Address","Địa chỉ"
"Advanced Settings","Cấu hình nâng cao"
"Allow checking item, but not trying","Cho xem hàng, không cho thử"
"Allow trying item","Cho thử hàng"
"Api Token","Mã API Token"
"Async (Message Queue)","Bất đồng bộ (Message Queue)"
"Auto Sync on Order Placement","Tự động đồng bộ khi đặt hàng"
"Auto Sync on Place Order","Tự động đồng bộ khi đặt hàng"
"Auto Sync on Shipment Creation","Tự động đồng bộ khi tạo đơn giao hàng"
"Automatically push order sync message to queue right after order placement","Tự động đẩy tin nhắn đồng bộ đơn hàng vào hàng đợi ngay sau khi đặt hàng thành công"
"Automatically push order sync message to queue when warehouse creates shipment","Tự động đẩy tin nhắn đồng bộ đơn hàng vào hàng đợi khi kho tạo đơn giao hàng (Shipment)"
"Buyer/Consignee","Người nhận hàng"
"Can't read response from GHN","Không thể đọc phản hồi từ GHN"
"City","Tỉnh/Thành phố"
"Comment: %1.","Ghi chú: %1."
"Contact Information","Thông tin liên hệ"
"Could not delete Track. Original message: %1","Không thể xóa vận đơn. Thông báo gốc: %1"
"Could not delete Track.","Không thể xóa vận đơn."
"Could not find Track with id: %1","Không tìm thấy vận đơn với mã: %1"
"Could not save Track. Original message: %1","Không thể lưu vận đơn. Thông báo gốc: %1"
"Could not save Track.","Không thể lưu vận đơn."
"Debug","Chế độ Debug"
"Direct (Immediate)","Trực tiếp (Đẩy liền)"
"Don't allow checking item","Không cho xem hàng"
"Displayed Error Message","Thông báo lỗi hiển thị"
"E-commerce delivery","Giao hàng Thương mại Điện tử (Express)"
"Enable Admin Manual Sync Button","Hiển thị nút Đồng bộ thủ công trong Admin"
"Enabled","Bật"
"Enter converted mass in grams","Nhập khối lượng quy đổi tính theo gram"
"Enter height in centimeters","Nhập chiều cao tính theo cm"
"Enter length in centimeters","Nhập chiều dài tính theo cm"
"Enter weight in grams","Nhập trọng lượng tính theo gram"
"Enter width in centimeters","Nhập chiều rộng tính theo cm"
"Express Method","Phương thức Nhanh (Express)"
"Failed to queue GHN sync: %1","Đưa vào hàng đợi đồng bộ GHN thất bại: %1"
"Field ","Trường "
"General Settings","Cấu hình chung"
"GHN","Giao Hàng Nhanh (GHN)"
"GHN Order Sync Failed","Đồng bộ đơn GHN thất bại"
"GHN Order Sync Success","Đồng bộ đơn GHN thành công"
"GHN Order Syncing","Đang đồng bộ đơn GHN"
"GHN sync has been queued for this order.","Đã đưa đơn hàng vào hàng đợi đồng bộ GHN."
"Go back","Quay lại"
"is required."," là bắt buộc."
"Is Develop Mode","Chế độ phát triển"
"It's a default billing address.","Đây là địa chỉ thanh toán mặc định."
"It's a default shipping address.","Đây là địa chỉ giao hàng mặc định."
"Maximum Converted Mass Item","Khối lượng quy đổi tối đa cho mỗi sản phẩm"
"Maximum Converted Mass Order","Khối lượng quy đổi tối đa cho đơn hàng"
"Maximum Height","Chiều cao tối đa"
"Maximum Height Item","Chiều cao tối đa cho mỗi sản phẩm"
"Maximum Length","Chiều dài tối đa"
"Maximum Length Item","Chiều dài tối đa cho mỗi sản phẩm"
"Maximum Weight","Trọng lượng tối đa"
"Maximum Weight Item","Trọng lượng tối đa cho mỗi sản phẩm"
"Maximum Width","Chiều rộng tối đa"
"Maximum Width Item","Chiều rộng tối đa cho mỗi sản phẩm"
"Method Name","Tên phương thức"
"No district to select.","Không có Phường/Xã để chọn."
"No items to ship found in rates request.","Không tìm thấy sản phẩm cần giao trong yêu cầu tính phí."
"Note Code","Ghi chú người mua xem hàng"
"Order ID is missing.","Thiếu ID đơn hàng."
"Payment Shipping COD","Phương thức thanh toán COD"
"Payment Type","Người trả phí dịch vụ"
"Please select a district.","Vui lòng chọn Phường/Xã."
"Please select a region, state or province.","Vui lòng chọn Tỉnh/Thành phố."
"Sandbox Mode","Môi trường Thử nghiệm (Sandbox)"
"Save Address","Lưu địa chỉ"
"Select Async (Message Queue) or Direct (Immediate execution during order/shipment creation)","Chọn Bất đồng bộ (Message Queue) hoặc Trực tiếp (Thực thi ngay khi đặt hàng/tạo shipment)"
"Select Payment method will be used COD amount when shipping","Chọn phương thức thanh toán áp dụng thu tiền COD khi giao hàng"
"Set token to access giaohangnhanh api.","Nhập token để truy cập API Giao Hàng Nhanh."
"Ship to Applicable Countries","Giao đến các quốc gia áp dụng"
"Ship to Specific Countries","Giao đến các quốc gia cụ thể"
