Date,Ngày
From,Từ
To,Đến
"Day/Month/Year (%1)","Ngày/Tháng/Năm (%1)"
"Day-Month-Year (%1)","Ngày-Tháng-Năm (%1)"
"Day.Month.Year (%1)","Ngày.Tháng.Năm (%1)"
"Month/Day/Year (%1)","Tháng/Ngày/Năm (%1)"
"Month-Day-Year (%1)","Tháng-Ngày-Năm (%1)"
"Month.Day.Year (%1)","Tháng.Ngày.Năm (%1)"
"Year/Month/Day (%1)","Năm/Tháng/Ngày (%1)"
"Year-Month-Day (%1)","Năm-Tháng-Ngày (%1)"
"Year.Month.Day (%1)","Năm.Tháng.Ngày (%1)"
"Short d M, y (%1)","Ngắn gọn d M, y (%1)"
"Medium d MM, Y (%1)","Trung bình d MM, Y (%1)"
"Full DD, d MM, yy (%1)","Đầy đủ DD, d MM, yy (%1)"
"Delivery On:","Ngày giao hàng:"
"House Security Code:","Mã bảo mật nhà:"
"Delivery Comment:","Ghi chú giao hàng:"
Add,Thêm
"Add after","Thêm sau"
Delete,Xóa
"Delivery Date","Ngày giao hàng"
"Delivery Time","Thời gian giao hàng"
"House Security Code","Mã bảo mật nhà"
"Delivery Comment","Ghi chú giao hàng"
"-- Please select a delivery time--","-- Vui lòng chọn thời gian giao hàng--"
"Date value must not be empty.","Giá trị ngày không được để trống."
"General Configuration","Cấu hình chung"
Enable,Bật
"Select <strong>Yes</strong> to enable the module.","Chọn <strong>Yes</strong> để bật module."
"Enable House Security Code","Bật Mã bảo mật nhà"
"Select <strong>Yes</strong> to allow customers to fill their house security codes.","Chọn <strong>Yes</strong> để cho phép khách hàng nhập mã bảo mật nhà."
"Enable Delivery Comment","Bật Ghi chú giao hàng"
"Select <strong>Yes</strong> to allow customers to commend on their orders.","Chọn <strong>Yes</strong> để cho phép khách hàng ghi chú cho đơn hàng."
"Enable Delivery Time","Bật Thời gian giao hàng"
"Select <strong>Yes</strong> to allow customers to choose estimated delivery time.","Chọn <strong>Yes</strong> để cho phép khách hàng chọn thời gian giao hàng dự kiến."
"Allows admins to choose the time frame for delivery","Cho phép quản trị viên chọn khung giờ giao hàng"
"Date Format","Định dạng ngày"
"Select the date format used for delivery date.","Chọn định dạng ngày sử dụng cho ngày giao hàng."
"Day Off","Ngày nghỉ trong tuần"
"Allows admins to choose the day off in week. Customers can not select the days off for delivery","Cho phép quản trị viên chọn ngày nghỉ trong tuần. Khách hàng không thể chọn các ngày nghỉ này để giao hàng"
"Date Off","Ngày nghỉ theo ngày"
"Allows admins to choose any date off that they want. Customers can not select the days off for delivery","Cho phép quản trị viên chọn ngày nghỉ bất kỳ. Khách hàng không thể chọn các ngày nghỉ này để giao hàng"
"Enable Cut-off Time","Bật Giờ cắt đơn"
"Cut-off Time","Giờ cắt đơn"
"Allows admins to choose the Cut-off time of the day","Cho phép quản trị viên chọn giờ cắt đơn trong ngày"
"Leave a message for the extra fee.","Để lại lời nhắn cho phí bổ sung."
"Comments","Bình luận"
"Enter your comment here","Nhập bình luận của bạn tại đây"
"Your coupon was successfully applied.","Mã giảm giá đã được áp dụng thành công."
"Your coupon was successfully removed.","Mã giảm giá đã được xóa thành công."
