"Enable Payment Core","Enable Payment Core"
"Managed Payment Methods","Managed Payment Methods"
"Default Payment Expiry (minutes)","Default Payment Expiry (minutes)"
"Expiry Override per Method (minutes)","Expiry Override per Method (minutes)"
"Disable Continue Payment for","Disable Continue Payment for"
"Expiry Cron","Expiry Cron"
"Batch Size","Batch Size"
"Force Close Records after (days)","Force Close Records after (days)"
"Payment Core","Payment Core"
"General","General"
"Secomm Payment Core","Secomm Payment Core"
"Continue Payment","Continue Payment"
"This order can no longer be paid.","This order can no longer be paid."
"Continue Payment is not available for this order.","Continue Payment is not available for this order."
"Order not found.","Order not found."
"Payment page could not be opened. Please contact us.","Payment page could not be opened. Please contact us."
