"Enable Payment Core","Bật Payment Core"
"Managed Payment Methods","Phương thức thanh toán được quản lý"
"Default Payment Expiry (minutes)","Thời hạn thanh toán mặc định (phút)"
"Expiry Override per Method (minutes)","Ghi đè thời hạn theo phương thức (phút)"
"Disable Continue Payment for","Tắt Tiếp tục thanh toán với"
"Expiry Cron","Cron hết hạn"
"Batch Size","Kích thước lô"
"Force Close Records after (days)","Đóng bản ghi treo sau (ngày)"
"Payment Core","Payment Core"
"General","Tổng quan"
"Secomm Payment Core","Secomm Payment Core"
"Continue Payment","Tiếp tục thanh toán"
"This order can no longer be paid.","Đơn hàng này không còn được thanh toán."
"Continue Payment is not available for this order.","Tiếp tục thanh toán không khả dụng cho đơn hàng này."
"Order not found.","Không tìm thấy đơn hàng."
"Payment page could not be opened. Please contact us.","Không thể mở trang thanh toán. Vui lòng liên hệ chúng tôi."
