"Secomm UI","Secomm UI"
"Render an approved Secomm UI component.","Render an approved Secomm UI component."
"Component","Component"
"Select an approved component to configure.","Select an approved component to configure."
"-- Please Select --","-- Please Select --"
"Component Options","Component Options"
"Configure the fields provided by the selected component.","Configure the fields provided by the selected component."
"Select from Gallery","Select from Gallery"
"Add Item","Add Item"
"Remove","Remove"
"Move Up","Move Up"
"Move Down","Move Down"
"The selected Secomm UI component or schema version is invalid.","The selected Secomm UI component or schema version is invalid."
"The Secomm UI component data is invalid.","The Secomm UI component data is invalid."
"Banner A","Banner A"
"Title","Title"
"Subtitle","Subtitle"
"Mobile Image","Mobile Image"
"Desktop Image","Desktop Image"
"Image Alt Text","Image Alt Text"
"Image Loading","Image Loading"
"Used on mobile and as the desktop fallback.","Used on mobile and as the desktop fallback."
"Lazy","Lazy"
"Eager","Eager"
"CTA Label","CTA Label"
"CTA URL","CTA URL"
"Open CTA in New Tab","Open CTA in New Tab"
"Content Alignment","Content Alignment"
"Text Alignment","Text Alignment"
"Start","Start"
"Center","Center"
"End","End"
"Left","Left"
"Right","Right"
"Background Tone","Background Tone"
"Text Tone","Text Tone"
"Dark","Dark"
"Light","Light"
"Brand","Brand"
"CTA Appearance","CTA Appearance"
"Primary Button","Primary Button"
"Secondary Button","Secondary Button"
"Neutral Button","Neutral Button"
"Text Link","Text Link"
"Banner Overlay","Banner Overlay"
"Use Content Card","Use Content Card"
"Use Gradient Overlay","Use Gradient Overlay"
"Gradient Angle","Gradient Angle"
"Generic Content A","Generic Content A"
"Hero Banner","Hero Banner"
"Rich Text Content","Rich Text Content"
"Heading","Heading"
"Content","Content"
"Content Width","Content Width"
"Narrow","Narrow"
"Medium","Medium"
"Wide","Wide"
"Trusted CMS content. Magento CMS directives are supported.","Trusted CMS content. Magento CMS directives are supported."
"The component content is too large. Reduce the rich text or number of items before saving.","The component content is too large. Reduce the rich text or number of items before saving."
"Accordion","Accordion"
"Allow Multiple Open Panels","Allow Multiple Open Panels"
"Show Dividers","Show Dividers"
"Panels","Panels"
"Panel Title","Panel Title"
"Panel Content","Panel Content"
"Open by Default","Open by Default"
"Split Banner","Split Banner"
"Image Position","Image Position"
"Text Banner","Text Banner"
"Eyebrow","Eyebrow"
"Lead","Lead"
"Feature Card","Feature Card"
"Image preview","Image preview"
"No image selected.","No image selected."
"Preview unavailable.","Preview unavailable."
"Remove Image","Remove Image"
"Select Images","Select Images"
"Media Card","Media Card"
"Image","Image"
"Image Category Grid","Image Category Grid"
"Browse All Label","Browse All Label"
"Browse All URL","Browse All URL"
"Open Browse Link in New Tab","Open Browse Link in New Tab"
"Enable Mobile Slider","Enable Mobile Slider"
"Categories","Categories"
"Category Label","Category Label"
"Category URL","Category URL"
"Open in New Tab","Open in New Tab"
"Pattern Category Grid","Pattern Category Grid"
"Pattern","Pattern"
"Wiggle","Wiggle"
"Bank Note","Bank Note"
"Background Color","Background Color"
"Pink","Pink"
"Blue","Blue"
"Video Embed","Video Embed"
"Video Provider","Video Provider"
"YouTube","YouTube"
"Vimeo","Vimeo"
"Video URL","Video URL"
"Enter a URL matching the selected YouTube or Vimeo provider.","Enter a URL matching the selected YouTube or Vimeo provider."
"Accessible Video Title","Accessible Video Title"
"Video Loading","Video Loading"
"Poster with Play Button","Poster with Play Button"
"Poster Image","Poster Image"
"Allow Autoplay","Allow Autoplay"
"Enhanced Privacy","Enhanced Privacy"
"Aspect Ratio","Aspect Ratio"
"Play %1","Play %1"
"Visual Content","Visual Content"
"Featured Quote","Featured Quote"
"Information Modal","Information Modal"
"Trigger Button Label","Trigger Button Label"
"Modal Title","Modal Title"
"Modal Content","Modal Content"
"Secondary Action Label","Secondary Action Label"
"Primary Action Label","Primary Action Label"
"Product Highlights","Product Highlights"
"Highlights","Highlights"
"Highlight Title","Highlight Title"
"Highlight Content","Highlight Content"
"Shortcut Links","Shortcut Links"
"Shortcut Items","Shortcut Items"
"Shortcut Label","Shortcut Label"
"Shortcut URL","Shortcut URL"
"Account","Account"
"Message","Message"
"Mail","Mail"
"Phone","Phone"
"Location","Location"
"Help","Help"
"Custom Image","Custom Image"
"Optional. When selected, this image replaces the chosen icon.","Optional. When selected, this image replaces the chosen icon."
"Custom Image Alt Text","Custom Image Alt Text"
"Content Slider","Content Slider"
"Accessible Slider Label","Accessible Slider Label"
"Arrow Position","Arrow Position"
"Hidden","Hidden"
"Both Sides","Both Sides"
"Show Navigation Dots","Show Navigation Dots"
"Load First Image Eagerly","Load First Image Eagerly"
"Slides","Slides"
"%1 controls","%1 controls"
"Previous Slide","Previous Slide"
"Next Slide","Next Slide"
"Logo Marquee","Logo Marquee"
"Show Heading","Show Heading"
"Animation Speed","Animation Speed"
"Slow","Slow"
"Normal","Normal"
"Fast","Fast"
"Animation Direction","Animation Direction"
"Pause on Hover or Focus","Pause on Hover or Focus"
"Logos","Logos"
"Logo Image","Logo Image"
"Logo Alt Text","Logo Alt Text"
"Logo Width","Logo Width"
"Logo Height","Logo Height"
"Logo URL","Logo URL"
"Customer Testimonial","Customer Testimonial"
"Quote","Quote"
"Author Name","Author Name"
"Author Role or Company","Author Role or Company"
"Author Avatar","Author Avatar"
"Avatar Alt Text","Avatar Alt Text"
"Rating","Rating"
"No Rating","No Rating"
"1 Star","1 Star"
"2 Stars","2 Stars"
"3 Stars","3 Stars"
"4 Stars","4 Stars"
"5 Stars","5 Stars"
"%1 out of 5 stars","%1 out of 5 stars"
"Testimonial Card","Testimonial Card"
"Icon Benefits","Icon Benefits"
"Benefits","Benefits"
"Benefit Title","Benefit Title"
"Benefit Description","Benefit Description"
"Shield Check","Shield Check"
"Truck","Truck"
"Gift","Gift"
"Receipt","Receipt"
"Benefit URL","Benefit URL"
"Benefit Cards","Benefit Cards"
"Compact Benefits","Compact Benefits"
"Benefit Label","Benefit Label"
