"Payment successful","Payment successful"
"Payment failed","Payment failed"
"Transaction successful","Transaction successful"
"The transaction already exists","The transaction already exists"
"Invalid merchant (check the vnp_TmnCode)","Invalid merchant (check the vnp_TmnCode)"
"Invalid request data format","Invalid request data format"
"Transaction initiation failed because the website is temporarily locked","Transaction initiation failed because the website is temporarily locked"
"Transaction failed: incorrect password entered too many times. Please try again","Transaction failed: incorrect password entered too many times. Please try again"
"Transaction failed: incorrect OTP verification password. Please try again","Transaction failed: incorrect OTP verification password. Please try again"
"Transaction is suspected to be fraudulent","Transaction is suspected to be fraudulent"
"Transaction failed: card/account has not registered for Internet banking at the bank","Transaction failed: card/account has not registered for Internet banking at the bank"
"Transaction failed: incorrect card/account verification more than 3 times","Transaction failed: incorrect card/account verification more than 3 times"
"Transaction failed: payment waiting period has expired. Please try again","Transaction failed: payment waiting period has expired. Please try again"
"Transaction failed: card/account is locked","Transaction failed: card/account is locked"
"Transaction failed: customer canceled the transaction","Transaction failed: customer canceled the transaction"
"Transaction failed: insufficient account balance","Transaction failed: insufficient account balance"
"Transaction failed: daily transaction limit has been exceeded","Transaction failed: daily transaction limit has been exceeded"
"The payment bank is under maintenance","The payment bank is under maintenance"
"Transaction failed: incorrect payment password entered too many times","Transaction failed: incorrect payment password entered too many times"
"An error occurred during the transaction","An error occurred during the transaction"
"Invalid signature","Invalid signature"
"Your payment was received but the order could not be created. Please contact us for assistance.","Your payment was received but the order could not be created. Please contact us for assistance."
