region_code,region_name_vi,region_name_en,code,parent_code,name_vi,name_en
VN-01,An Giang,An Giang,VNA25-3D6A6CF4D0,,An Biên,An Bien
VN-01,An Giang,An Giang,VNA25-62FC0DA86D,,An Châu,An Chau
VN-01,An Giang,An Giang,VNA25-5FE1DBB446,,An Cư,An Cu
VN-01,An Giang,An Giang,VNA25-D0FE846B9D,,An Minh,An Minh
VN-01,An Giang,An Giang,VNA25-D0C042F304,,An Phú,An Phu
VN-01,An Giang,An Giang,VNA25-AAF0BFFA43,,Ba Chúc,Ba Chuc
VN-01,An Giang,An Giang,VNA25-204FD42547,,Bình An,Binh An
VN-01,An Giang,An Giang,VNA25-EEBDE6AA36,,Bình Đức,Binh Duc
VN-01,An Giang,An Giang,VNA25-9CD6A04CF5,,Bình Giang,Binh Giang
VN-01,An Giang,An Giang,VNA25-7E556EADA9,,Bình Hoà,Binh Hoa
VN-01,An Giang,An Giang,VNA25-B9FA97C6EE,,Bình Mỹ,Binh My
VN-01,An Giang,An Giang,VNA25-CDE3F0D859,,Bình Sơn,Binh Son
VN-01,An Giang,An Giang,VNA25-49678DF97F,,Bình Thạnh Đông,Binh Thanh Dong
VN-01,An Giang,An Giang,VNA25-BF2BB03E30,,Cần Đăng,Can Dang
VN-01,An Giang,An Giang,VNA25-B3D75E05E2,,Châu Đốc,Chau Doc
VN-01,An Giang,An Giang,VNA25-E481C03007,,Châu Phong,Chau Phong
VN-01,An Giang,An Giang,VNA25-9C995C11FE,,Châu Phú,Chau Phu
VN-01,An Giang,An Giang,VNA25-E7AF9B4E89,,Châu Thành,Chau Thanh
VN-01,An Giang,An Giang,VNA25-04E68862F8,,Chi Lăng,Chi Lang
VN-01,An Giang,An Giang,VNA25-54D056A88B,,Chợ Mới,Cho Moi
VN-01,An Giang,An Giang,VNA25-0B210B5C56,,Chợ Vàm,Cho Vam
VN-01,An Giang,An Giang,VNA25-901AC3EF74,,Cô Tô,Co To
VN-01,An Giang,An Giang,VNA25-8F0B46F501,,Cù Lao Giêng,Cu Lao Gieng
VN-01,An Giang,An Giang,VNA25-5740FCD4B6,,Định Hoà,Dinh Hoa
VN-01,An Giang,An Giang,VNA25-5A91C47DC0,,Định Mỹ,Dinh My
VN-01,An Giang,An Giang,VNA25-C3B95C9510,,Đông Hoà,Dong Hoa
VN-01,An Giang,An Giang,VNA25-80CFBD4EAC,,Đông Hưng,Dong Hung
VN-01,An Giang,An Giang,VNA25-DBFEC01B4C,,Đông Thái,Dong Thai
VN-01,An Giang,An Giang,VNA25-D3E1E5F051,,Giang Thành,Giang Thanh
VN-01,An Giang,An Giang,VNA25-28512079EA,,Giồng Riềng,Giong Rieng
VN-01,An Giang,An Giang,VNA25-57C834B0ED,,Gò Quao,Go Quao
VN-01,An Giang,An Giang,VNA25-886DF5D7AD,,Hà Tiên,Ha Tien
VN-01,An Giang,An Giang,VNA25-2B4C700ED9,,Hoà Điền,Hoa Dien
VN-01,An Giang,An Giang,VNA25-755290E4C2,,Hoà Hưng,Hoa Hung
VN-01,An Giang,An Giang,VNA25-A0FA154B56,,Hoà Lạc,Hoa Lac
VN-01,An Giang,An Giang,VNA25-5C40C7CD13,,Hoà Thuận,Hoa Thuan
VN-01,An Giang,An Giang,VNA25-C373E8E6D9,,Hội An,Hoi An
VN-01,An Giang,An Giang,VNA25-9CBC77E76B,,Hòn Đất,Hon Dat
VN-01,An Giang,An Giang,VNA25-71816DACB3,,Hòn Nghệ,Hon Nghe
VN-01,An Giang,An Giang,VNA25-6E0A7896A0,,Khánh Bình,Khanh Binh
VN-01,An Giang,An Giang,VNA25-ED78F70581,,Kiên Hải,Kien Hai
