region_code,region_name_vi,region_name_en,code,parent_code,name_vi,name_en
VN-01,An Giang,An Giang,VNAP25-B70EDA95D6,,An Phú,An Phu
VN-01,An Giang,An Giang,VNAP25-AECE8784BB,VNAP25-B70EDA95D6,An Phú,An Phu
VN-01,An Giang,An Giang,VNAP25-CC12D74B42,VNAP25-B70EDA95D6,Đa Phước,Da Phuoc
VN-01,An Giang,An Giang,VNAP25-A199BF1EAB,VNAP25-B70EDA95D6,Khánh An,Khanh An
VN-01,An Giang,An Giang,VNAP25-0016DE8FBD,VNAP25-B70EDA95D6,Khánh Bình,Khanh Binh
VN-01,An Giang,An Giang,VNAP25-ABECE63852,VNAP25-B70EDA95D6,Long Bình,Long Binh
VN-01,An Giang,An Giang,VNAP25-BA37B5A5D2,VNAP25-B70EDA95D6,Nhơn Hội,Nhon Hoi
VN-01,An Giang,An Giang,VNAP25-945893333B,VNAP25-B70EDA95D6,Phú Hội,Phu Hoi
VN-01,An Giang,An Giang,VNAP25-50C0B17E01,VNAP25-B70EDA95D6,Phú Hữu,Phu Huu
VN-01,An Giang,An Giang,VNAP25-A07590CB4B,VNAP25-B70EDA95D6,Phước Hưng,Phuoc Hung
VN-01,An Giang,An Giang,VNAP25-3DA74D86DF,VNAP25-B70EDA95D6,Quốc Thái,Quoc Thai
VN-01,An Giang,An Giang,VNAP25-9EE8AEA5D0,VNAP25-B70EDA95D6,Vĩnh Hậu,Vinh Hau
VN-01,An Giang,An Giang,VNAP25-ECC60724B8,VNAP25-B70EDA95D6,Vĩnh Hội Đông,Vinh Hoi Dong
VN-01,An Giang,An Giang,VNAP25-DEB43253F3,VNAP25-B70EDA95D6,Vĩnh Lộc,Vinh Loc
VN-01,An Giang,An Giang,VNAP25-F60E5CA942,VNAP25-B70EDA95D6,Vĩnh Trường,Vinh Truong
VN-01,An Giang,An Giang,VNAP25-6074F02CDA,,Châu Đốc,Chau Doc
VN-01,An Giang,An Giang,VNAP25-8079847EF1,VNAP25-6074F02CDA,Châu Phú A,Chau Phu A
VN-01,An Giang,An Giang,VNAP25-FE4DA0CD26,VNAP25-6074F02CDA,Châu Phú B,Chau Phu B
VN-01,An Giang,An Giang,VNAP25-A1C5F75DF2,VNAP25-6074F02CDA,Núi Sam,Nui Sam
VN-01,An Giang,An Giang,VNAP25-D15B6A8E7C,VNAP25-6074F02CDA,Vĩnh Châu,Vinh Chau
VN-01,An Giang,An Giang,VNAP25-3E0F02316C,VNAP25-6074F02CDA,Vĩnh Mỹ,Vinh My
VN-01,An Giang,An Giang,VNAP25-EDEAA3F0F7,VNAP25-6074F02CDA,Vĩnh Ngươn,Vinh Nguon
VN-01,An Giang,An Giang,VNAP25-69F5CD1440,VNAP25-6074F02CDA,Vĩnh Tế,Vinh Te
VN-01,An Giang,An Giang,VNAP25-9574E5771D,,Châu Phú,Chau Phu
VN-01,An Giang,An Giang,VNAP25-5C2AD70231,VNAP25-9574E5771D,Bình Chánh,Binh Chanh
VN-01,An Giang,An Giang,VNAP25-B17D3036FD,VNAP25-9574E5771D,Bình Long,Binh Long
VN-01,An Giang,An Giang,VNAP25-BF9422CE48,VNAP25-9574E5771D,Bình Mỹ,Binh My
VN-01,An Giang,An Giang,VNAP25-52469D7BBF,VNAP25-9574E5771D,Bình Phú,Binh Phu
VN-01,An Giang,An Giang,VNAP25-31FB2F9B9B,VNAP25-9574E5771D,Bình Thủy,Binh Thuy
VN-01,An Giang,An Giang,VNAP25-7E4C65C397,VNAP25-9574E5771D,Cái Dầu,Cai Dau
VN-01,An Giang,An Giang,VNAP25-E46156F411,VNAP25-9574E5771D,Đào Hữu Cảnh,Dao Huu Canh
VN-01,An Giang,An Giang,VNAP25-D4B2B7D177,VNAP25-9574E5771D,Khánh Hòa,Khanh Hoa
VN-01,An Giang,An Giang,VNAP25-37949A0F1E,VNAP25-9574E5771D,Mỹ Đức,My Duc
VN-01,An Giang,An Giang,VNAP25-B007BCD46D,VNAP25-9574E5771D,Mỹ Phú,My Phu
