source_scheme,source_code,target_scheme,target_code,relation_type
VN_ADMIN_PRE_2025,VN-01,VN_ADMIN_2025,VN-01,MERGED_INTO
VN_ADMIN_PRE_2025,VN-02,VN_ADMIN_2025,VN-15,MERGED_INTO
VN_ADMIN_PRE_2025,VN-03,VN_ADMIN_2025,VN-02,MERGED_INTO
VN_ADMIN_PRE_2025,VN-04,VN_ADMIN_2025,VN-31,MERGED_INTO
VN_ADMIN_PRE_2025,VN-05,VN_ADMIN_2025,VN-03,MERGED_INTO
VN_ADMIN_PRE_2025,VN-06,VN_ADMIN_2025,VN-02,MERGED_INTO
VN_ADMIN_PRE_2025,VN-07,VN_ADMIN_2025,VN-34,MERGED_INTO
VN_ADMIN_PRE_2025,VN-08,VN_ADMIN_2025,VN-11,MERGED_INTO
VN_ADMIN_PRE_2025,VN-09,VN_ADMIN_2025,VN-15,MERGED_INTO
VN_ADMIN_PRE_2025,VN-10,VN_ADMIN_2025,VN-09,MERGED_INTO
VN_ADMIN_PRE_2025,VN-11,VN_ADMIN_2025,VN-20,MERGED_INTO
VN_ADMIN_PRE_2025,VN-12,VN_ADMIN_2025,VN-03,MERGED_INTO
VN_ADMIN_PRE_2025,VN-13,VN_ADMIN_2025,VN-04,MERGED_INTO
VN_ADMIN_PRE_2025,VN-14,VN_ADMIN_2025,VN-05,SAME_AS
VN_ADMIN_PRE_2025,VN-15,VN_ADMIN_2025,VN-06,MERGED_INTO
VN_ADMIN_PRE_2025,VN-16,VN_ADMIN_2025,VN-07,MERGED_INTO
VN_ADMIN_PRE_2025,VN-17,VN_ADMIN_2025,VN-20,MERGED_INTO
VN_ADMIN_PRE_2025,VN-18,VN_ADMIN_2025,VN-08,SAME_AS
VN_ADMIN_PRE_2025,VN-19,VN_ADMIN_2025,VN-09,MERGED_INTO
VN_ADMIN_PRE_2025,VN-20,VN_ADMIN_2025,VN-10,MERGED_INTO
VN_ADMIN_PRE_2025,VN-21,VN_ADMIN_2025,VN-11,MERGED_INTO
VN_ADMIN_PRE_2025,VN-22,VN_ADMIN_2025,VN-33,MERGED_INTO
