"City","Ward/Commune"
"State/Province","Province/City"
"State","Province/City"
"Please select a region, state or province.","Please select a Province/City."
"Please select a city","Please select a Ward/Commune"
"Select a region","Select a Province/City"
"Select a city","Select a Ward/Commune"
"Province/City","Province/City"
"District/Town","District/Town"
"Legacy Ward/Commune","Ward/Commune"
"Please select a Province/City.","Please select a Province/City."
"Please select a District/Town.","Please select a District/Town."
"Please select a Ward/Commune.","Please select a Ward/Commune."
"VN Admin 2025 (2-level)","VN Admin 2025 (2-level)"
"VN Admin pre-2025 (3-level)","VN Admin pre-2025 (3-level)"
