"VietQR","VietQR"
"Order %1","Order %1"
"Bank","Bank"
"Account Number","Account Number"
"Account Holder","Account Holder"
"Amount","Amount"
"Transfer Content","Transfer Content"
"VietQR Payment","VietQR Payment"
"Pay with VietQR","Pay with VietQR"
"Amount (VND)","Amount (VND)"
"Ref:","Ref:"
"Scan the QR code using your banking app to complete payment automatically","Scan the QR code using your banking app to complete payment automatically"
"Transaction Reference (optional)","Transaction Reference (optional)"
"Enter bank transaction reference","Enter bank transaction reference"
"Notes (optional)","Notes (optional)"
"Any additional notes","Any additional notes"
"I have completed the transfer","I have completed the transfer"
"Cancel","Cancel"
"Back","Back"
"You have confirmed the bank transfer. We will verify your payment and update the order status.","You have confirmed the bank transfer. We will verify your payment and update the order status."
"Thank you! We have received your payment confirmation for order #%1.","Thank you! We have received your payment confirmation for order #%1."
"VietQR Payment Instructions","VietQR Payment Instructions"
"Pending VietQR","Pending VietQR"
"Awaiting Payment Confirm","Awaiting Payment Confirm"
"VietQR API request failed. Please use manual bank transfer instructions.","VietQR API request failed. Please use manual bank transfer instructions."
"VietQR API returned invalid response. Please use manual bank transfer instructions.","VietQR API returned invalid response. Please use manual bank transfer instructions."
"Customer confirmed bank transfer via VietQR page.","Customer confirmed bank transfer via VietQR page."
"Too many requests. Please try again later.","Too many requests. Please try again later."
"Configuration","Configuration"
"Debug Mode","Debug Mode"
