"Read more","Đọc tiếp"
"Posted:","Đăng ngày:"
"Categories:","Danh mục:"
"Comments:","Bình luận:"
"Tags:","Thẻ:"
"Author:","Tác giả:"
"Views:","Lượt xem:"
"min read","phút đọc"
"and","và"
"%1 Comment(s)","%1 Bình luận"
"Add a comment...","Thêm bình luận..."
"Sign in to add a comment...","Đăng nhập để bình luận..."
"Full Name","Họ và tên"
"Email","Email"
"Submit","Gửi"
"Sign In","Đăng nhập"
"Load more comments","Tải thêm bình luận"
"Add a reply...","Thêm trả lời..."
"Cancel","Hủy"
"Categories","Danh mục"
"Recent Posts","Bài viết mới"
"Featured Posts","Bài viết nổi bật"
"Popular Posts","Bài viết phổ biến"
"Close","Đóng"
"Previous","Trước"
"Next","Sau"
